,anthoxanthum_odoratum,bromus_erectus,carex_sempervirens,centaurea_uniflora,dactylis_glomerata,festuca_laevigata,festuca_paniculata,festuca_rubra,geum_montanum,helianthemum_grandiflorum,heracleum_sphondylium,hypochaeris_maculata,laserpitium_latifolium,lathyrus_pratensis,lotus_corniculatus,onobrychis_montana,plantago_media,poa_pratensis,rhinanthus_major,sesleria_caerulea,trifolium_alpinum,trifolium_montanum,trisetum_flavescens,vaccinium_myrtillus,
Anonconotus alpinus F,0,0,0.7,10.8,1.7,0.4,0,0,0,0,243.7,171.3,67.7,0,6.7,0,0,0,2,0,0.3,0,0,0,
Anonconotus alpinus M,1,0,0,0,0,0,0,0,0,0,93.6,308.4,0,4.5,2,8.5,3.4,0,0,0,33.4,0,3.6,0.3,
Arcyptera fusca F,2.6,19.9,24.5,0,0,0,111.1,3.8,0,0,39,0,0,0,0,0,0,0,0,13.8,0,13.4,30.6,0,
Arcyptera fusca M,10.7,0,24.5,7.2,24,0,160,5.4,0,0,0,0,0,0,0,0,0,0,0,27.5,0,0,27,0,
Bohemanella frigida F,0,0,1.2,9,0,0,0,0,0,0,0,0,0,11.2,8.9,3.7,16.9,0,17.8,0,0,0,0,0,
Bohemanella frigida M,0,0,0,35.8,0,0,0.9,0,0,0,29.2,10.3,0,7.8,0,38.7,0,2.9,0,0,0,0,0,0,
Calliptamus italicus F,0.1,0,0,0,0,0,40,0,0,0,39,0,0,0,4,0,59.3,0,8.9,0,0,9.3,21.6,7.6,
Calliptamus italicus M,0,0,0,0,0,0,0,0,0.4,0,3.9,10.3,0,0,6.7,2.9,23.7,0.2,0,0,0,0,0,0,
Calliptamus siciliae F,0,0,0,0,0,0,0,0,4.4,1.1,0,109.7,0,0,0,24,0,0,0,0,13.4,0,0,0.8,
Calliptamus siciliae M,0,0,0,0,0,0,0,0,0,0,9.7,34.3,0,2.2,0,0,0,0,0,0,0,0,0,0,
Chorthippus apricarius F,2.9,0,0,1.8,0,5.4,44.4,8.9,0,0,13.6,0,0,10.1,2,0,0,1.7,0,0,0,0,39.6,0,
Chorthippus apricarius M,0,5,12.3,1.4,5.1,0,17.8,7.6,0,0,3.9,17.1,0,2.2,1.3,0,0,2.9,0,7.7,0,0,16.2,0,
Chorthippus biguttulus F,0,9.9,0,0,0,0,57.8,0,1.3,0.2,13.6,0,0,0,4.7,0,13.6,0,0,15.9,0,0,7.2,0,
Chorthippus biguttulus M,0,0,0,17.2,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,
Chorthippus parallelus F,2.9,14.9,6.1,1.8,6.9,3.3,26.7,0,0,0,0,0,0,0,0,0,0,0,0,29.1,10,0,18,0,
Chorthippus parallelus M,5.4,0,25.7,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,8.1,0,0,0,0,23.4,0,
Chorthippus scalaris F,0,0,0,21.5,34.3,0,111.1,0,0,0,7.8,0,0,0,0,0,0,0,0,0,13.4,8.3,0,0,
Chorthippus scalaris M,0,2.5,4.9,0,0,0,0,0,0,0,0,51.4,0,1.8,0,0,0,0,0,0,0,8.3,43.2,0,
Decticus verrucivorus F,14.3,0,22.1,0,0,0,0,0.6,5.3,0,458.1,0,0,0,27,34.7,8.5,0,0,0,2.7,0,43.2,1.7,
Decticus verrucivorus M,20,3.7,0,0,0,0,0,3.2,0,0,272.9,0,121.9,0,23.5,14.7,0,0,3,4.6,6.7,3.3,23.4,0,
Euchorthippus declivus F,0,18.7,36.8,0,52.1,0,22.2,0,0,0,0,0,0,0,0,0,0,7.2,0,9.2,0,0,11.9,0,
Euchorthippus declivus M,14.6,15.4,6.1,0,17.1,0,0,0,0,0,0,0,0,0,0,0,0,8.1,0,0,0,1.7,5.4,0,
Euthystira brachyptera F,19.3,0,0,0,11.3,0.1,17.8,5.7,0,0,1.9,0,0,0,0,0,0,0,0.2,19.9,0,0,10.1,0,
Euthystira brachyptera M,0,0,0,0,10.3,0,0,6,0,0,0,0,0,0,0,0,0,8.1,0,0,0,0,10.8,0,
Gomphocerus sibiricus F,0,5,0,14.3,49.7,0,53.3,0,0,0,19.5,34.3,0,0,0.7,0,0,0,0,0,0,0,0,0,
Gomphocerus sibiricus M,0,0,0,7.2,20.6,0,26.7,2.8,0,0,0,0,0,0,2,8,0,0,0,7.7,0,2.7,0,0,
Metrioptera bicolor F,0,0,0,0,0,0,68.4,6.3,0,0,0,0,0,0.4,0,0,0,1.2,0,9.5,0,0,8.3,0,
Metrioptera bicolor M,0.6,0,22.8,0,0,4.6,47.1,3.2,2.2,0,0,0,0,0,2.7,14.7,0,0,0,0,1,0,10.8,0,
Metrioptera brachyptera F,8.9,0.2,0,17.9,0.7,0.3,0,0,0,0,76,17.1,0,0,1.8,6.7,0,0,3.9,0,0.3,0.7,0.7,0.2,
Metrioptera brachyptera M,1.1,1.2,0,0,0,1.6,0,0,0,0,29.2,10.3,0,22.4,0,0,1.7,0,5.9,0.6,9.4,0.7,0,0,
Miramella alpina F,0,0,0,0,0,0,0,0,0,0,136.5,0,0,0,0,48,8.5,0,22.7,0,0,0,0,0,
Miramella alpina M,0,0,0,0,0,0,0,0.6,3.5,0,7.8,0,0,0,6.7,29.4,0,0,0,0,0,0,0,2.1,
Myrmeleotettix maculatus F,0,1,0,0,0,4.9,0,13.3,0,0.2,0,0,0,0,0,0,0,4.1,0,1.5,1.3,0,0,0,
Myrmeleotettix maculatus M,0.1,0,0,0,0,0.5,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,
Omocestus haemorrhoidalis F,1,0,4.9,0,5.1,6.5,4.4,9.2,0,0,0,0,0,0,0,0,0,5.8,0,4,18.4,0,18,0.8,
Omocestus haemorrhoidalis M,0.3,0,11,0,3.4,0,0,4.4,0,0,5.8,0,0,0,0,0,0,2.9,0,0.3,2.3,2,5.4,0,
Omocestus viridulus F,26.4,0,12.3,0,0,0,80,15.5,0,0,0,0,0,0,0.5,28,0,29.1,0,21.4,5,0,108,0,
Omocestus viridulus M,4.3,0,0,0,8.9,0,0,0,0,0,9.7,0,0,0,0,0,0,2.3,0,0,10,0,16.2,0,
Platycleis albopunctata F,0,0,0,0,0,6.5,0,3.8,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,10.8,0,
Platycleis albopunctata M,0,0,0,0,6.9,8.7,1.8,0.6,0,0,29.2,0,0,0,0,0,0,0,0,0,0.7,0,36,0,
Podisma pedestris F,2.9,0,0,0,0,0,0,0,0,10.5,9.7,0,0,0,0,38.7,16.9,0,0,0,0,0,0,0,
Podisma pedestris M,0,0,1.2,0,0,0,0,0,7.5,0,9.7,0,0,0,0,0,8.5,0,0,0,0,10,1.8,0,
Stenobothrus lineatus F,0,5,33.1,0,0,16.3,40.9,11.7,0,0,0,0,0,0,0,0,0,10.5,0,4.6,33.4,0,0,0,
Stenobothrus lineatus M,0,22.4,4.9,0,0,15.2,0,1.9,0,0,7.8,0,0,0,0,0,0,4.1,0,12.2,0.7,0,0,0,
Stenobothrus nigromaculatus F,0,0,0,0,0,5.4,133.3,0,0,0,0,0,0,0,0,0,0,18.6,0,0,0,0,0,0,
Stenobothrus nigromaculatus M,0,5,0,0,0,0,13.3,6.3,0,0,0,0,0,0,0,0,0,2.1,0,6.1,0,0,3.6,0,
Stethophyma grossum F,0,2.5,0,0,13.7,0,0.9,0,0.9,0,39,0,0,0,0,0,8.5,1.2,5.9,5.5,0,0,13.7,0,
Stethophyma grossum M,0,9.9,3.7,0,0,0,2.7,0,0.9,0,3.9,0,0,0,0,0,1.7,0,0.2,0,0,0,7.9,0,
Tettigonia cantans F,2.9,0,0,0,0,0,0,0,0.9,0,60.4,205.6,115.1,0,6.3,26.7,0,0,3.9,0,0.3,16.7,0,0.3,
Tettigonia cantans M,5.7,0,0,0,0,0,0,0,0,0,276.8,37.7,20.3,0,4.3,1.3,0,0,21.3,0,0,0,0,0.4,
Tettigonia viridissima F,0,0,0,1.8,0,2.2,9.8,0,0,0,321.7,68.5,40.6,2.2,40.4,34.7,0,0,19.7,0,25.1,0,1.1,0,
