,alectryon_excelsus,aristotelia_serrata,beilschmiedia_tawa,berberis_sp42,blechnum_discolor,blechnum_minus,carpodetus_serratus,chamaecytisus_prolifera,coprosma_foetidissima,coprosma_grandifolia,coprosma_linariifolia,coprosma_microcarpa,coprosma_propinqua,coprosma_rhamnoides,coprosma_robusta,coprosma_rotundifolia,coriaria_arborea,cyathea_dealbata,cyathea_medullaris,dacrydium_cupressinum,dicksonia_sp36,digitalis_purpurea,erica_lusitanica,fuchsia_excorticata,gaultheria_antipoda,littoralis_littoralis,hebe_sp187,hedycarya_arborea,helichrysum_lanceolatum,leucopogon_fasciculatus,leycesteria_formosa,lophomyrtus_bullata,marattia_salicina,melicytus_ramiflorus,metrosideros_sp111,myrsine_australis,nothofagus_fusca,nothofagus_menziesii,nothofagus_solandri,olearia_avicenniifolia,olearia_rani,passiflora_tetrandra,phormium_tenax,pinus_radiata,pinus_sylvestris,pittosporum_eugenioides,pittosporum_rigidum,podocarpus_cunninghamii,pseudopanax_sp205,pseudopanax_sp92,pseudotsuga_menziesii,pseudowintera_axillaris,pseudowintera_colorata,pteridium_aquilinum,quintinia_serrata,rhipogonum_scandens,rubus_cissoides,rubus_plicatus,senecio_sp69,ulex_europaeus,weinmannia_racemosa,
Paramorpha.sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Strepsicrates.sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Cleora.sp,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Pseudocoremia.sp,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,
Helastia.sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ctenopseustis.sp,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,
Hydriomena.sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Caloptilia.sp,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Heterocrossa.sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,
Poecilasthena.sp,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,
