,aleurites_moluccanus,spiraeopsis_brassii,castanopsis_acuminatissima,cinnamomum_culilaban,cordia_dichotoma,magnolia_tsiampacca,ficus_nodosa,melicope_denhamii,piper_plagiophyllum,pipturus_argenteus,
Coenobius_kleinhoviae,0,0,0,0,0,0,1,0,0,0,
Coenobius_sp,0,0,0,1,0,0,0,0,0,0,
Micromolpus_sp,0,0,1,0,1,0,0,0,0,0,
Rhyparida_coriacea,1,1,1,1,0,1,1,0,0,1,
Rhyparida_sp_bryanti,0,1,0,0,0,0,0,0,0,0,
Rhyparida_sp_1,0,0,0,1,0,0,0,0,0,0,
Rhyparida_sp_2,0,1,1,0,0,0,0,0,0,0,
Rhyparida_sp_3,0,0,0,0,0,0,0,0,0,1,
Rhyparidella_wauensis,0,0,1,0,0,0,1,0,0,1,
Rhyparidella_10,0,1,0,0,0,0,0,0,0,0,
Rhyparidella_11,0,0,0,0,0,0,1,0,0,1,
Rhyparidella_12,0,0,0,0,0,0,0,0,0,1,
Rhyparidella_13,1,0,1,1,0,0,0,1,0,1,
Rhyparidella_14,0,1,0,0,1,1,1,0,0,1,
Rhyparidella_15,0,1,0,0,1,1,1,0,0,1,
Rhyparidella_16,1,0,1,0,0,1,0,1,0,0,
Rhyparidella_17,0,1,0,0,0,0,1,0,0,1,
Rhyparidella_18,1,0,1,0,1,0,1,0,0,0,
Rhyparidella_19,0,0,0,0,0,0,1,0,0,1,
Rhyparidella_20,0,1,0,1,0,1,0,0,0,0,
Stethotes_integra,0,0,0,0,1,0,1,0,0,1,
Stethotes_lateralis,0,0,0,0,1,0,1,0,0,1,
Stethotes_nigritula,0,1,1,0,0,0,0,1,0,0,
Stethotes_suturalis,0,1,0,0,0,0,0,0,0,0,
Stethotes_25,0,0,0,0,0,0,0,0,1,0,
Stethotes_26,0,0,0,0,0,0,0,0,0,1,
Thyrasia_27,0,0,1,0,0,0,0,0,0,0,
Thyrasia_28,0,1,0,0,0,0,0,0,0,0,
Atysa_sp,0,0,0,0,1,0,1,0,0,0,
Aulacophora_sp,0,0,0,0,0,0,1,0,1,0,
Cassena_sp,0,0,1,0,0,0,0,1,1,1,
Momaea_sp,0,0,0,0,0,0,0,1,0,0,
Monolepta_sp,0,0,0,1,0,0,0,0,0,0,
Neolepta_34,0,0,0,0,0,0,0,0,0,1,
Neolepta_35,1,1,0,0,0,0,0,0,0,0,
Neolepta_36,0,0,1,0,0,0,0,0,0,0,
Neolepta_37,0,0,1,1,0,0,0,1,0,0,
Neolepta_38,0,1,0,0,0,0,0,0,0,0,
Neolepta_39,0,0,1,0,0,0,0,0,0,0,
Neolepta_40,0,0,0,0,0,0,0,0,0,1,
Oides_sp,0,0,0,0,0,0,0,0,0,1,
Sastra_sp,1,0,0,0,1,0,1,0,0,1,
Aphthonomorpha_sp,0,1,0,0,0,0,0,1,0,0,
Crepidodera_sp,0,0,0,0,0,0,0,0,1,0,
Manobia_sp,0,0,0,0,0,0,0,0,0,1,
Xenidea_sp,0,0,0,0,1,0,0,0,1,0,
