,artocarpus_altilis,breynia_cernua,casearia_erythrocarpa,dracaena_angustifolia,endospermum_moluccanum,eupomatia_laurina,ficus_botryocarpa,ficus_conocephalifolia,ficus_copiosa,ficus_dammaropsis,ficus_nodosa,ficus_phaeosyce,ficus_pungens,ficus_septica,ficus_trachypison,ficus_variegata,ficus_wassa,gardenia_hansemannii,homalanthus_novoguineensis,hydriastele_microspadix,kibara_coriacea,macaranga_brachytricha,macaranga_densiflora,macaranga_ducis,macaranga_quadriglandulosa,mallotus_mollissimus,melanolepis_multiglandulosa,osmoxylon_sessiliflorum,pavetta_platyclada,pimelodendron_amboinicum,premna_serratifolia,psychotria_leptothyrsa,psychotria_micralabastra,psychotria_micrococca,pterocarpus_indicus,sterculia_schumanniana,tabernaemontana_aurantiaca,timonius_timon,
CURC012,121,4,89,249,82,112,3,3,19,6,15,3,11,3,0,16,9,219,55,0,27,23,160,68,65,71,44,28,195,43,47,44,77,139,73,79,77,172,
CURC010,62,5,75,34,44,189,0,7,0,2,0,0,0,0,0,0,2,133,57,4,21,16,73,89,30,50,20,33,83,49,50,23,83,75,70,53,62,129,
CRAM045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CHRY125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ACRI001,70,0,33,32,0,40,23,14,11,24,13,20,21,22,20,12,14,72,131,43,10,9,8,9,4,21,46,87,77,6,74,56,71,75,44,22,86,52,
CURC002,48,9,37,18,63,50,6,0,14,0,18,2,0,0,0,0,0,65,97,5,48,12,83,26,29,17,66,49,120,15,95,61,190,70,63,77,47,99,
CURC001,25,2,27,28,36,30,0,8,12,0,0,0,12,0,0,11,0,62,42,0,19,10,203,66,35,58,50,41,28,21,51,9,34,46,41,12,15,51,
ACRI011,12,0,6,6,0,4,0,4,2,2,9,3,4,0,15,2,5,34,2,17,2,3,0,2,0,3,2,76,8,0,18,35,42,22,18,16,25,14,
CURC040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,16,6,0,55,2,8,5,0,2,2,27,
PHAS007,4,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,19,0,0,5,0,0,0,0,0,0,7,133,0,9,60,194,293,3,21,2,17,
ACRI023,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,3,2,0,0,0,0,0,0,7,11,0,0,7,6,10,2,0,4,2,
ACRI014,22,0,2,0,0,7,6,0,0,0,0,0,0,0,8,11,0,12,3,7,0,0,5,0,8,0,4,4,4,0,8,4,8,3,51,3,0,20,
PHAS002,5,0,5,0,0,0,0,0,5,3,4,5,3,0,5,3,6,8,0,4,6,0,0,0,0,0,0,7,5,0,0,0,2,5,18,10,2,5,
CHRY001,210,3,0,0,0,0,22,3,138,35,6,14,12,21,42,63,51,7,10,0,0,20,12,76,44,185,28,0,10,3,4,0,3,0,6,6,0,0,
CURC003,0,2,5,0,5,2,0,0,5,0,0,0,0,0,0,2,3,6,5,0,0,0,0,4,4,3,7,0,0,2,2,3,2,2,0,0,0,0,
CHRY126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
XXXX089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ACRI013,5,0,0,2,0,3,5,0,0,6,2,0,0,2,0,3,2,4,0,5,0,0,0,4,3,0,3,13,3,0,0,4,9,5,2,2,5,6,
CHRY158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
XXXX092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
CERA009,4,3,4,2,3,3,5,3,2,4,2,7,4,0,4,11,0,2,2,3,3,0,0,0,2,0,0,3,4,0,2,8,3,2,0,6,7,0,
CERA011,4,0,7,4,0,4,4,4,3,6,0,6,6,3,3,3,4,2,0,3,4,0,0,0,0,0,0,0,8,2,3,4,5,5,2,11,5,0,
CERA022,0,0,0,3,0,0,0,0,0,2,0,2,2,2,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,
CERA028,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,3,4,0,0,0,0,0,0,0,2,0,0,5,2,4,0,0,2,0,
CERA045,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,
CHRY021,5,0,0,0,0,0,0,2,8,7,0,5,0,0,5,8,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,
CHRY030,2,0,2,0,0,2,42,93,78,76,75,28,69,15,283,12,10,2,4,0,0,3,7,0,0,12,0,0,0,0,0,0,0,0,2,4,0,2,
