,acaena_pinnatifida,adesmia_aconcaguensis,adesmia_brachysemeon,adesmia_conferta,adesmia_exilis,adesmia_montana,adesmia_papposavarradicifolia,alstroemeria_pallida,anarthrophyllum_cumingii,asteriscium_aemocarpon,astragalus_curvicaulis,astragalus_sp1m_pl_001,barneoudia_chilensis,berberis_empetrifolia,berberis_montana,bowlesia_tropaeolifolia,calandrinia_affinis,calceolaria_arachnoides,calceolaria_biflora,calceolaria_corymbosa,calceolaria_spindet,cardamine_nivalis,cerastium_arvense,chaetanthera_euphrasioides,chaetanthera_microphylla,chuquiraga_oppositifolia,clarkia_tenella,collomia_biflora,cynoglossum_sp1m_pl_001,erodium_cicutarium,euphorbia_portulacoides,haplopappus_chrysanthemifolius,hypochaeris_sp1m_pl_001,lathyrus_subandinus,lepidium_philippianum,leucheria_landbeckii,leucocoryne_ixioides,leucocoryne_pauciflora,loasa_heterophylla,loasa_sigmoidea,lupinus_subvexus,madia_sativa,malesherbia_linearifolia,montiopsis_potentilloides,mulinum_spinosum,mutisia_acerosa,mutisia_sinuata,mutisia_subulata,nardophyllum_lanatum,nassauvia_magellanica,noticastrum_sericeum,oenothera_acaulis,oxalis_cinerea,oxalis_sp1m_pl_001,oxalis_squamata,perezia_carthamoides,phacelia_secunda,quinchamalium_chilense,rhodophiala_montana,rhodophiala_uniflora,salpiglossis_sp1m_pl_001,sanicula_graveolens,schizanthus_grahamii,scyphanthus_elegans,senecio_bustillosianus,senecio_erucaeformis,senecio_francisci,senecio_lithostaurus,sisyrinchium_arenarium,sisyrinchium_junceum,sisyrinchium_philippii,solanum_crispum,solenomelus_segethi,stachys_albicaulis,tetraglochin_alatum,echinopsis_sp102,tristagma_sessile,tropaeolum_polyphyllum,tropaeolum_sessilifolium,tropaeolum_tricolor,valeriana_graciliceps,verbena_scoparia,viviania_marifolia,zoellnerallium_andinum,
Scaeva melanostoma,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,
Unidentified sp1 M_PL_001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,
Unidentified sp2 M_PL_001,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,
Megachile semirufa,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
Centris cineraria,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
Megachile sp1 M_PL_001,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,
Caenohalictus sp1 M_PL_001,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alloscirtetica sp1 M_PL_001,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Auca coctei-pales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Anthidium chilensis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Etcheverrius chilensis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
