,acaena_pinnatifida,anarthrophyllum_cumingii,anarthrophyllum_gayanum,astragalus_curvicaulis,azorella_madreporica,azorella_monantha,berberis_empetrifolia,calandrinia_affinis,calceolaria_arachnoides,calceolaria_biflora,cardamine_nivalis,cerastium_arvense,cerastium_humifusum,chaetanthera_apiculata,chaetanthera_euphrasioides,chaetanthera_pusilla,chuquiraga_oppositifolia,discaria_nana,erigeron_andicola,euphorbia_portulacoides,laretia_acaulis,loasa_caespitosa,montiopsis_cistiflora,montiopsis_sericea,mutisia_sinuata,nassauvia_axillaris,nassauvia_magellanica,nassauvia_pyramidalis,oxalis_cinerea,oxalis_compacta,oxalis_squamata,ranunculus_peduncularis,sanicula_graveolens,senecio_bustillosianus,senecio_erucaeformis,senecio_francisci,senecio_sp1m_pl_002,tristagma_bivalve,tropaeolum_polyphyllum,viola_philippii,weberbauera_stenophylla,werneria_pygmaea,zoellnerallium_andinum,
Unidentified sp1 M_PL_002,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,
Unidentified sp2 M_PL_002,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,
Scaeva melanostom,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,
Bombus dahlbomii,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,
Unidentified sp3 M_PL_002,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
Caenohal sp1 M_PL_002,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
Hypodynerus sp1 M_PL_002,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
Yramea modesta,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,
Auca coctei-pales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,
Habromyia lipoflava,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andinus venustus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,
Etcheverrius chilensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
Unidentified sp4 M_PL_002,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
