,aralia_nudicaulis,chimaphila_umbellata,clintonia_borealis,cornus_canadensis,cypripedium_acaule,linnaea_borealis,maianthemum_canadense,medeola_virginiana,oxalis_montana,orthilia_secunda,trientalis_borealis,trillium_undulatum,
Eusphalerum sp1 M_PL_004,1,0,0,0,1,1,1,0,1,0,0,0,
Paramyia nitens,0,1,0,1,0,0,0,0,0,0,0,0,
Parasyrphus relictus,0,0,1,1,0,0,1,0,0,0,0,0,
Dialictus sp1 M_PL_004,1,0,1,1,0,1,1,0,1,1,0,1,
Bombus vagans,1,1,1,1,1,1,1,0,0,1,0,0,
Eusphalerum phothos,1,0,0,1,0,0,0,0,1,0,0,0,
Bombus terricola,1,1,1,1,0,0,0,0,0,0,0,0,
Evylaeus quebecensis,1,0,0,1,0,1,1,0,0,0,0,0,
Blera confusa,0,0,0,1,0,0,0,0,0,0,0,0,
Xylota bigelowi,0,0,0,1,0,0,0,0,0,0,0,0,
Pidonia ruficolis,0,0,1,1,0,0,0,0,0,0,0,0,
Andrena w-scripta,1,0,0,1,0,0,0,0,0,0,0,0,
Dialictus cressoni,1,0,1,0,0,1,1,0,0,0,0,0,
Eusphalerum convexum,1,0,0,0,0,0,0,0,1,0,0,0,
Bombylius major,0,0,0,1,0,0,1,0,0,0,0,0,
Bombus perplexus,1,0,0,1,0,0,0,0,0,0,0,0,
Carposcalis confusus,0,0,1,0,0,1,1,0,0,0,1,1,
Hylaeus ellipticus,0,0,0,0,0,1,0,0,0,0,0,0,
Sphaerophoria bifurcata,0,0,0,1,0,1,1,0,0,0,1,1,
Anthaxia expansa,0,0,0,1,0,0,0,0,0,0,0,1,
Eclimus harrisi,0,0,0,1,0,1,0,0,0,0,0,0,
Tropidia quadrata,0,0,0,1,0,0,1,0,0,0,0,0,
Andrena melanochroa,0,0,0,1,0,0,0,0,0,0,0,0,
Andrena miranda,0,0,0,1,0,0,1,0,0,0,0,0,
Bombus ternarius,0,0,1,1,0,0,0,0,0,0,0,0,
Orthoneura pulchella,0,0,0,1,0,0,1,0,0,0,0,0,
Osmia proxima,0,0,0,1,0,1,0,0,0,0,0,0,
Phaonia serva,0,0,0,1,0,1,0,0,0,0,0,0,
Sphaerophoria sp1 M_PL_004,0,0,1,0,0,1,1,0,0,0,0,0,
Temnostoma balyras,0,0,0,1,0,0,0,0,0,0,0,0,
Tychius stephensi,0,0,0,1,0,0,0,0,0,0,0,0,
Xylota hinei,0,0,0,1,0,0,1,0,0,0,0,0,
Agiotes stabilis,0,0,0,0,0,0,1,0,0,0,0,0,
Ancistrocerus sp1 M_PL_004,0,0,0,1,0,0,0,0,0,0,0,0,
Andrena nivalis,0,0,0,1,0,0,1,0,0,0,0,0,
Andrena rufosignata,0,0,0,1,0,0,0,0,0,0,0,0,
Celastrina argiolus,0,0,0,1,0,0,0,0,0,0,0,0,
Chalcosyrphus nigra,0,0,0,1,0,0,0,0,0,0,0,0,
Cheilosia pallipes,0,0,0,0,0,0,0,0,1,0,0,0,
Cheilosia sialia,0,0,0,1,0,0,0,0,0,0,0,0,
Crabro sp1 M_PL_004,0,0,0,1,0,1,0,0,0,0,0,0,
Dialictus imitatus,1,0,1,0,0,0,0,0,0,0,0,0,
Evylaeus divergens,0,0,0,1,0,0,1,0,0,0,0,0,
Fannia ungulata,0,0,0,0,0,1,0,0,0,0,0,0,
Halictus rubicundus,1,0,0,0,0,0,1,0,0,0,0,0,
Mallota posticata,1,0,0,1,0,0,0,0,0,0,0,0,
Melagyna lasiophthalma,0,0,0,0,0,1,1,0,0,0,0,0,
Melanostoma sp1 M_PL_004,0,0,0,0,0,0,0,0,1,0,0,0,
Sarcophaga nearctica,0,0,1,1,0,0,0,0,0,0,0,0,
Sphecodes sp1 M_PL_004,0,0,0,1,0,0,0,0,0,0,0,0,
Temnostoma barberi,0,0,0,1,0,0,0,0,0,0,0,0,
Zeraea americana,0,0,0,1,0,1,0,0,0,0,0,0,
Acmaeopsoides rufula,0,0,0,1,0,0,0,0,0,0,0,0,
Andrena sigmundi,0,0,0,1,0,0,0,0,0,0,0,0,
Andrena thaspii,0,0,0,1,0,0,0,0,0,0,0,0,
Andrena wheeleri,1,0,0,0,0,0,0,0,0,0,0,0,
Andrena wilkella,0,0,1,0,0,0,0,0,0,0,0,0,
Anthonomus sp1 M_PL_004,0,0,0,1,0,0,0,0,0,0,0,0,
Blera badia,0,0,0,1,0,0,0,0,0,0,0,0,
Blera nigripes,0,0,0,1,0,0,0,0,0,0,0,0,
Bombylius pigmaeus,0,0,0,0,0,0,1,0,0,0,0,0,
Cantharis sp1 M_PL_004,0,0,0,1,0,0,0,0,0,0,0,0,
Carposcalis obscura,0,0,0,0,0,0,0,0,0,0,1,0,
Cateres pennatus,1,0,0,0,0,0,0,0,0,0,0,0,
Chalcosyrphus curvarius,0,0,0,1,0,0,0,0,0,0,0,0,
Chalcosyrphus inarmatus,0,0,0,1,0,0,0,0,0,0,0,0,
Chalcosyrphus memorum,0,0,0,1,0,0,0,0,0,0,0,0,
Cheilosia slossonae,0,0,0,0,0,0,1,0,0,0,0,0,
