,achillea_millefolium,centaurea_nigra,cirsium_arvense,hypochaeris_radicata,lathyrus_pratensis,leucanthemum_vulgare,lotus_corniculatus,silene_flos-cuculi,plantago_lanceolata,prunella_vulgaris,ranunculus_acris,taraxacum_officinale,trifolium_dubium,trifolium_pratense,trifolium_repens,vicia_cracca,vicia_sativa,
Bombus terrestris/lucorum,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,
Phaonia incarna,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,
Tropidia scitta,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,
Helophilus sp1 M_PL_006,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,
Eristalinus sepulcharius,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,
Bombus pascuorum,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,
Lucillia sp1 M_PL_006,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Maniola jurtina,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,
Pollenia sp1 M_PL_006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
Anthomyidae sp1 M_PL_006,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,
Eristalis nemorum,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
Chrysogaster sp1 M_PL_006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Syritta pipiens,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
Eristalis intricarius,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,
Lejogaster splendida,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Andrena wilkella,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,
Bombus hortorum,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,
Eristalis tenax,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Cheilosia albitarsis,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
