,adenocarpus_viscosus,argyranthemum_tenerifae,echium_wildpretii,erysimum_scoparium,glechoma_teydea,mentha_spicata,pimpinella_cumbrae,pterocephalus_lasiospermus,scrophularia_parviflora,cytisus_supranubius,tolpis_webbii,
Anastoechus latifrons,0,0,1,1,1,0,0,1,0,1,1,
Anthophora alluaudi,0,0,1,1,1,1,0,0,1,1,0,
Apis mellifera,0,1,1,1,0,0,1,1,0,1,0,
Euodynerus reflexus,0,0,0,0,1,1,1,0,1,1,1,
Geron hesperidon,1,1,0,1,0,0,1,1,0,0,1,
Eristalis tenax,0,0,1,0,0,1,1,1,0,0,1,
Megachile canariensis,0,0,1,1,0,0,0,1,0,1,1,
Anthrax anthrax,0,0,1,0,0,0,1,1,1,0,0,
Eucera gracilipes,0,0,1,1,1,0,0,0,0,1,0,
Hyleaus canariensis,0,0,1,0,0,0,1,0,0,1,1,
Lasioglossum viride,0,0,1,0,0,0,1,1,1,0,0,
Linnaemyia soror,0,1,1,0,0,1,1,0,0,0,0,
Cephalodromia sp1 M_PL_008,0,1,0,0,0,0,1,0,0,0,1,
Cyclyrius webbianus,0,0,0,1,0,1,0,1,0,0,0,
Estheria simonyi,0,0,1,0,0,1,0,1,0,0,0,
Lasioglossum actifrons,0,0,0,0,0,1,1,0,1,0,0,
Melecta curvispina,0,0,1,1,0,0,0,1,0,0,0,
Osmia canariensis,1,0,0,1,0,0,0,1,0,0,0,
Andrena wollestoni,0,0,0,0,0,0,0,0,0,1,1,
Colletes dimidiatus,0,0,0,0,0,1,0,0,0,1,0,
Gasteruption sp1 M_PL_008,0,0,0,0,0,0,1,1,0,0,0,
Lucilia sericata ,0,1,0,0,0,0,0,1,0,0,0,
Macroglossum stellatarum,0,0,1,1,0,0,0,0,0,0,0,
Scaeva albomaculata,0,0,0,0,0,0,0,1,1,0,0,
Stomorhina lunata,0,0,1,0,0,1,0,0,0,0,0,
Unidentified sp1 M_PL_008,0,1,1,0,0,0,0,0,0,0,0,
Anthidium manicatum,0,0,0,0,1,0,0,0,0,0,0,
Bibio elmoi,0,0,0,0,0,1,0,0,0,0,0,
Dermasothes gracile,0,0,0,0,0,0,1,0,0,0,0,
Drosophila sp1 M_PL_008,0,1,0,0,0,0,0,0,0,0,0,
Lasioglossum chalcodes,0,0,1,0,0,0,0,0,0,0,0,
Leptochilus eatoni,0,0,0,0,0,0,1,0,0,0,0,
Nyctia lugubris,0,0,0,0,0,0,1,0,0,0,0,
Peleteria ruficornis,0,0,0,0,0,1,0,0,0,0,0,
Phylloscopus collybita,0,0,1,0,0,0,0,0,0,0,0,
Serinus canarius,0,0,1,0,0,0,0,0,0,0,0,
Tachina canariensis,0,0,0,0,0,1,0,0,0,0,0,
Tachysphex unicolor,0,0,0,0,0,0,0,0,1,0,0,
