,asclepias_ucullata,asclepias_woodii,aspidonepsis_diploglossa,miraglossum_pilosum,miraglossum_verticillare,pachycarpus_natalensis,sisyranthus_trichostomus,xysmalobium_gerrardii,xysmalobium_involucratum,
Aspilocoryphus fasciativentris,1,0,0,0,1,1,1,1,1,
Hemipepsis hilaris,0,0,0,1,1,1,1,1,1,
Atrichelaphinis tigrina,0,1,0,0,1,0,1,1,1,
Sarcophaga sp1 M_PL_013,0,1,0,0,1,1,0,1,1,
Cyrtothyrea marginalis,0,1,0,0,1,0,1,1,0,
Diptera sp3 M_PL_013,0,1,0,0,1,1,0,1,0,
Unidentified sp15 M_PL_013,0,0,0,0,0,0,1,1,1,
Unidentified sp20 M_PL_013,0,0,0,0,1,1,0,1,1,
Unidentified sp6 M_PL_013,0,1,1,0,0,1,0,0,0,
Unidentified sp19 M_PL_013,0,0,0,0,0,0,0,1,1,
Unidentified sp25 M_PL_013,0,0,0,0,0,0,1,1,0,
Unidentified sp4 M_PL_013,0,1,1,0,0,0,0,1,1,
Apis mellifera,0,0,1,0,0,0,1,1,0,
Musca domestica,0,0,1,0,0,0,0,1,0,
Unidentified sp13 M_PL_013,0,0,0,0,0,0,0,1,1,
Unidentified sp33 M_PL_013,0,0,0,0,0,0,0,1,1,
Unidentified sp9 M_PL_013,0,0,0,0,0,0,0,0,1,
Unidentified sp11 M_PL_013,0,0,0,0,0,0,1,1,1,
Unidentified sp12 M_PL_013,0,0,0,0,0,0,0,1,0,
Unidentified sp28 M_PL_013,1,0,0,0,0,1,0,0,0,
Unidentified sp10 M_PL_013,0,0,0,0,0,1,0,0,1,
Unidentified sp16 M_PL_013,0,1,0,0,0,0,0,0,0,
Unidentified sp17 M_PL_013,0,0,0,0,0,0,0,1,0,
Unidentified sp2 M_PL_013,0,0,1,0,0,0,0,0,0,
Unidentified sp30 M_PL_013,0,0,1,0,0,0,0,1,0,
Unidentified sp38 M_PL_013,1,0,0,0,0,0,0,0,0,
Unidentified sp5 M_PL_013,0,0,0,0,0,0,0,1,1,
Unidentified sp7 M_PL_013,0,0,0,0,0,0,0,1,0,
Unidentified sp8 M_PL_013,0,0,0,0,0,0,0,1,0,
Actea sp1 M_PL_013,0,0,0,0,0,0,0,1,0,
Arge sp1 M_PL_013,0,0,0,0,0,0,1,0,0,
Dacus sp1 M_PL_013,0,0,0,0,0,1,0,0,0,
Diptera sp1 M_PL_013,0,0,0,0,0,0,1,0,0,
Diptera sp2 M_PL_013,0,0,0,0,0,1,0,0,0,
Homoecerus annulatus,0,0,0,0,0,1,0,0,0,
Microphthalma sp1 M_PL_013,0,0,0,0,0,1,0,0,0,
Microphthalma sp2 M_PL_013,0,0,0,0,0,0,0,1,0,
Spilostethus rivularis,0,0,0,0,0,1,0,0,0,
Tiphia sp1 M_PL_013,0,1,0,0,0,0,0,0,0,
Unidentified sp1 M_PL_013,0,0,0,0,0,0,0,1,0,
Unidentified sp14 M_PL_013,0,0,0,0,0,0,0,1,0,
Unidentified sp18 M_PL_013,0,0,0,0,0,0,1,0,0,
Unidentified sp21 M_PL_013,0,0,0,0,0,0,0,1,0,
Unidentified sp22 M_PL_013,0,0,0,0,0,0,0,1,0,
Unidentified sp23 M_PL_013,0,0,0,0,0,0,0,1,0,
Unidentified sp24 M_PL_013,0,0,0,0,0,0,0,1,0,
Unidentified sp26 M_PL_013,0,0,0,0,0,0,0,1,0,
Unidentified sp27 M_PL_013,0,0,1,0,0,0,0,0,0,
Unidentified sp29 M_PL_013,0,0,0,0,0,0,0,1,0,
Unidentified sp3 M_PL_013,1,0,0,0,0,0,0,0,0,
Unidentified sp31 M_PL_013,0,0,0,0,0,0,0,1,0,
Unidentified sp32 M_PL_013,0,0,0,0,0,0,0,1,0,
Unidentified sp34 M_PL_013,0,0,0,0,0,0,0,0,1,
Unidentified sp35 M_PL_013,0,0,0,0,1,0,0,0,0,
Unidentified sp36 M_PL_013,0,0,0,0,0,0,0,1,0,
Unidentified sp37 M_PL_013,0,0,0,0,0,0,1,0,0,
