,adesmia_hemisphaerica,astragalus_cruckshanksii,astragalus_nivicola,azorella_monantha,calandrinia_caespitosa,cerastium_arvense,discaria_nana,epilobium_nivale,hypochaeris_montana,jaborosa_laciniata,leuceria_candidissima,loasa_incurva,menonvillea_scapigera,montiopsis_gilliesii,oxalis_erythrorhiza,perezia_pilifera,phacelia_secunda,senecio_looseri,senecio_tricephalus,sisyrinchium_junceum,tarasa_humilis,
Megachile sp1 M_PL_022,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,
Chilimelissa sp1 M_PL_022,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,
Geron sp1 M_PL_022,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,
Megachile sp2 M_PL_022,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
Unidentified sp2 M_PL_022,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,
Unidentified sp5 M_PL_022,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
Anthidium chubuti,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
Thysanoptera sp1 M_PL_022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,
Astylus sp1 M_PL_022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,
Chironomidae sp1 M_PL_022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Chlorobrachycoma versicolor ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hypodinerus sp1 M_PL_022,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ichneumonidae sp1 M_PL_022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Liphantus sp1 M_PL_022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
Liphantus sp2 M_PL_022,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Microcerella rusca ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mosillus sp1 M_PL_022,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Spinoliella sp1 M_PL_022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
Thyridanthrax sp2 M_PL_022,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tropidia notata,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp1 M_PL_022,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Agrotis ipsilon ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alloscirtetica antarctica ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Alloscirtetica sp1 M_PL_022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Calliphoridae sp1 M_PL_022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chilimelissa farellones ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Coccinela anchoralis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dasybaris chillan ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dolichogyna sp1 M_PL_022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hypodinerus sp2 M_PL_022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Issoria lathonioides,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Peridroma saucia ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Phulia sp1 M_PL_022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Phulia sp2 M_PL_022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Podagritus sp1 M_PL_022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pseudoleucania nobilis ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
