,arnica_alpina,astragalus_alpinus,caltha_palustris,cerastium_alpinum,dryas_integrifolia,geum_rossii,oxytropis_arctica,papaver_radicatum,petasites_frigidus,potentilla_vahliana,taraxacum_sp56,
Spilogona sanctipauli,1,0,1,1,1,0,0,0,0,1,1,
Bombus polaris,0,1,0,0,0,0,0,0,1,0,0,
Spilogona almquistii ,1,0,1,0,1,1,0,1,0,1,1,
Colias hecla,0,1,0,0,0,0,0,0,0,0,0,
Eupogonomyia probilofensis ,1,0,0,0,1,0,0,0,0,1,0,
Boloria improba ,0,0,0,0,1,0,0,0,0,0,0,
Pogonomyiodes segnis ,0,0,0,0,1,0,0,1,0,1,0,
Spilogona latilamina,0,0,0,0,0,0,0,0,0,1,0,
Boreellus atriceps,0,0,0,0,0,0,0,0,0,1,1,
Spilogona dorsata,0,0,1,0,0,0,0,0,0,1,0,
Spilogona projecta ,0,0,0,1,1,0,0,0,0,0,0,
Spilogona aesturium ,0,0,0,0,0,0,0,0,0,0,1,
Spilogona melanosoma,0,0,1,0,0,0,0,0,0,1,0,
Anarta richardsoni,0,0,0,0,0,0,1,0,0,0,0,
Colias nastes ,0,1,0,0,0,0,0,0,0,0,0,
Protocalliphora sp1 M_PL_024,0,0,0,0,0,0,0,0,0,1,0,
Rhamphomyia sp1 M_PL_024,0,0,0,0,0,0,0,0,0,0,1,
Spilogona hurdiana ,0,0,1,0,0,0,0,0,0,0,0,
