,abelmoschus_manihot,abutilon_depauperatum,acacia_sp39,vachellia_macracantha,ageratum_conyzoides,avicennia_germinans,bacopa_monnieri,bastardia_viscosa,bidens_pilosa,bougainvillea_sp131,brassica_rapa,bursera_graveolens,caesalpinia_pulcherrima,canna_sp7,capsicum_annuum,cardiospermum_corindum,carica_papaya,senna_occidentalis,cassia_sp153,castela_galapageia,catharanthus_roseus,chiococca_alba,clerodendrum_sp144,clerodendrum_sp198,coffea_arabica,commicarpus_tuberosus,cordia_leucophlyctis,cordia_lutea,cordia_sp126,crotalaria_incana,croton_scouleri,cryptocarpus_pyriformis,cucurbita_pepo,cuphea_racemosa,erigeron_tenuifolius,diodella_radula,encelia_hispida,euphorbia_cyathophora,exodeconus_miersii,galactia_striata,galvezia_leucantha,galvezia_leucantha,geoffroea_spinosa,gossypium_barbadense,gossypium_sp173,talipariti_tiliaceum,inga_edulis,ipomoea_incarnata,ipomoea_pes-caprae,ipomoea_sp44,jaegeria_gracilis,justicia_galapagana,lantana_peduncularis,solanum_cheesmaniae,macraea_laricifolia,malvastrum_coromandelianum,mentzelia_aspera,miconia_robinsoniana,mirabilis_jalapa,momordica_charantia,nolana_galapagensis,opuntia_galapageia,opuntia_galapageia,opuntia_galapageia,opuntia_galapageia,opuntia_sp103,opuntia_sp14,parkinsonia_aculeata,passiflora_foetida,persea_americana,phyla_sp38,physalis_pubescens,piscidia_carthagenensis,plumbago_zeylanica,persicaria_hydropiperoides,portulaca_oleracea,prosopis_velutina,psidium_guajava,psychotria_rufipes,rhynchosia_minima,scaevola_plumieri,scalesia_affinis,scalesia_baurii,scalesia_helleri,scalesia_pedunculata,scalesia_sp41,senna_pistaciifolia,sesuvium_portulacastrum,setaria_parviflora,sida_acuta,sidastrum_paniculatum,sida_rhombifolia,sida_spinosa,solanum_ptychanthum,solanum_cheesmaniae,sonchus_oleraceus,stachytarpheta_cayennensis,tetramerium_nervosum,tournefortia_psilostachya,tournefortia_rufo-sericea,tribulus_cistoides,vallesia_glabra,vigna_luteola,waltheria_ovata,
Xylocopa darwini,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,
Phoebis sennae,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,
Leptotes parrhasioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,
Atteva hysginiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Toxomerus crockeri,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Urbanus dorantes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wasmannia auropunctata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Agrius cingulatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Utetheisa galapagensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,
Euchrombius ocellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
