,cassinia_vauvilliersi,celmisia_armstrongii,celmisia_coriacea,gentianella_corymbifera,leucanthemum_vulgare,craspedia_uniflora,emilia_bellioides,galium_propinquum,hebe_sp47,helichrysum_sp216,hoheria_glabrata,ourisia_macrocarpa,parahebe_lyalii,lobelia_angulata,ranunculus_lyallii,senecio_sp29,senecio_sp135,wahlenbergia_albomarginata,
Melangyna sp1 M_PL_027,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,
Unidentified sp1 M_PL_027,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,
Leioproctus fulvescens,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
Avibrissina isolata,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
Cheilosia fulvipes,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
Cheilosia sp1 M_PL_027,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
Lasioglossum sp1 M_PL_027,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,
Leioproctus sp1 M_PL_027,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,
Argirophenga sp1 M_PL_027,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,
Melangyna novaezelandiae,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
Peremptor modica,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
Unidentified sp2 M_PL_027,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp3 M_PL_027,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,
Veluta albicincta,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Adoxia cheesemani,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Apsonia muscaria,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Erythronychia aliena,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Heteria plebeia,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
Leioproctus sp2 M_PL_027,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Mordella detracta,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
Occisor sp1 M_PL_027,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
Pilinasica cingulata,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Procissio sp1 M_PL_027,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Proscissio cana,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
Proscissio lateralis,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
Unidentified sp4 M_PL_027,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
Xylota montana,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zealandotachina nigrifemorata,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adoxia obscura,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Argyrophenga janitae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Asilis pilicomis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Avibrissina sp1 M_PL_027,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Calliphora quadrimaculata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Cyphon sp1 M_PL_027,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eudonia sabulosella,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Eulalia sp1 M_PL_027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Gracilicera setosa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Helophilus hochstetteri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Heteria appendiculata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Hoplocneme sp1 M_PL_027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Leioproctus maritimus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lepidomyia decessum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mallochomacquartia setiventris,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Medinella flavotemorata,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Melangyna ortas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Neotachina obtusa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Neotachina sp1 M_PL_027,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Occisor versutus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pasiphila inductata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Proscissio kumarensis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Protohystricia huttoni,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Protohystricia orientalis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Rhopalomerus sp1 M_PL_027,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Unidentified sp5 M_PL_027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Unidentified sp6 M_PL_027,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Unidentified sp7 M_PL_027,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp8 M_PL_027,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Unidentified sp9 M_PL_027,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Zealandotachina varipes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zorion minutum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
