,achillea_millefolium,aciphylla_subflabellata,brachyscome_sinclairii,carmichaelia_angustata,cassinia_fulvida,celmisia_gracilenta,celmisia_spectabilis,cirsium_arvense,corokia_cotoneaster,cytisus_scoparius,digitalis_purpurea,discaria_toumatou,ericaceae_acerosum,echium_vulgare,epilobium_sp60,galium_propinquum,hebe_sp13,hebe_sp190,helichrysum_selago,isotoma_fluviatilis,leptospermum_scoparium,linum_catharticum,lupinus_polyphyllus,marrubium_vulgare,muehlenbeckia_axillaris,muehlenbeckia_complexa,olearia_virgata,veronica_decora,parahebe_lyalii,pimelea_sp210,pimelea_traversii,potentilla_anserina,lobelia_angulata,raoulia_australis,raoulia_mammillaris,raoulia_subsericea,rosa_rubiginosa,trifolium_pratense,trifolium_repens,verbascum_thapsus,wahlenbergia_albomarginata,
Unidentified sp1 M_PL_028,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,
Melangyna novaezelandiae,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,
Melangyna sp1 M_PL_028,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,
Proscissio cana,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,
Lasioglossum sordidum,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,
Lycaena salustius,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,
Lasioglossum sp1 M_PL_028,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,
Lycaena boldenarium,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,
Peremptor modica,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Protohystricia huttoni,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Occisor sp1 M_PL_028,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
