,bejaria_aestuans,bonnetia_sessilis,spermacoce_capitata,brocchinia_acuminata,calea_lucidivenia,catasetum_discolor,chromolaena_sp177,cleistes_stricta,clusia_grandiflora,clusia_pusilla,cybianthus_quelchii,cyrilla_racemiflora,declieuxia_fruticosa,digomphia_laurifolia,epidendrum_ibaguense,epistephium_duckei,eriopsis_biloba,galactophora_schomburgkiana,heliamphora_heterodoxa,humiria_balsamifera,ilex_retusa,irlbachia_nemorosa,lepidaploa_bolivarensis,macairea_pachyphylla,macairea_parvifolia,mandevilla_benthamii,macairea_taxifolia,meriania_sclerophylla,miconia_ciliata,mikania_psilostachya,notopora_schomburgkii,pagameopsis_garryoides,passovia_stelis,philodendron_callosum,ochnaceae_retusa,remijia_densiflora,sauvagesia_angustifolia,sipanea_galioides,siphanthera_cordifolia,sobralia_liliastrum,stegolepis_angustata,ternstroemia_crassifolia,tibouchina_fraterna,tococa_nitens,vaccinium_euryanthum,vaccinium_puberulum,vismia_lauriformis,xyris_setigera,
Apis mellifera,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,
Melipona scutellaris,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,
Xylocopa sp1 M_PL_031,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,
Bombus volucelloides,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,
Euglossa sp1 M_PL_031,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,
Bombus pullatus,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,
Politmus milleri,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
Bombus atratus,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
Augochloropsis sp1 M_PL_031,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
Cerciris sp1 M_PL_031,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Polybia scrobalis,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Calicopis sp1 M_PL_031,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Ceratina sp1 M_PL_031,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Augochlora sp1 M_PL_031,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Campsomeris sp1 M_PL_031,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Copestylum sp1 M_PL_031,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
