,calluna_vulgaris,campanula_rotundifolia,empetrum_nigrum,chamerion_angustifolium,erica_tetralix,galium_saxatile,genista_anglica,hieracium_pilosella,hieracium_umbellatum,hypochaeris_radicata,potentilla_erecta,salix_aurita,salix_repens,scorzonera_humilis,solidago_virgaurea,trientalis_europaea,vaccinium_myrtillus,vaccinium_uliginosum,vaccinium_vitis-idaea,
Apis mellifera,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,
Episyrphus balteatus,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,
Eupeodes corollae ,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,
Melanostoma mellinum,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,
Parasyrphus lineola,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,
Platycheirus cyaneus,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,
Scaeva selenitica,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,
Bombus lucorum,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,
Bombus pascuorum,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,
Meliscaeva cinctella,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,
Sphaerophoria sp1 M_PL_047,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,
Bombus sp1 M_PL_047,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,
Sicus ferrugineus,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,
Syrphus torvus,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,
Bombus jonellus,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,
Bombus sp2 M_PL_047,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,
Lasioglossum punctatissimum,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,
Sphaerophoria menthastri-group,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,
Andrena haemorrhoa,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,
Eristalis tenax,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,
Lasioglossum fratellum,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,
Leptura melanura,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,
Meligethes aeneus,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,
Syrphus ribesii,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,
Bombus bohemicus,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,
Bombus lapidarius,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,
Chrysotoxum fasciatum,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,
Lasioglossum sp1 M_PL_047,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,
Lasioglossum villosulum,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,
Scatophaga stercoraria,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,
Syritta pipiens,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,
Volucella bombylans,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,
Andrena fulva,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,
Andrena nigroaenea,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,
Andrena sp1 M_PL_047,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
Bellardia vulgaris,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,
Bombus pratorum,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
Callophrys rubi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,
Cerceris arenaria,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Coenosia means,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,
Gonia picea,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,
Lasioglossum leucozonium,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,
Megasyrphus erraticus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,
Vespula vulgaris ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,
Anarta myrtilli,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andrena clarkella,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
Andrena lapponica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
Anoplius sp1 M_PL_047,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
Bombus rupestris,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Calameuta pallipes,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Dasysyrphus albostriatus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,
Dasysyrphus tricinctus,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
Dilophus febrilis,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Dolichovespula saxonica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Empis sp1 M_PL_047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Eristalis lineata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Eupeodes nielseni,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
Formica fusca,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
Formica rufa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Gymnosoma nudifrons,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Helophilus pendulus,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Inachis io,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Mellinus arvensis,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Micropterix aruncella,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
Mimesa equestris,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Myrmica ruginodis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
Nomada panzeri,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
Nomada sp1 M_PL_047,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,
Phaonia angelicae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Phaonia incana,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
Phyllopertha horticola,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
Sarcophaga sp1 M_PL_047,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Scatophaga inquinata,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
Sepsis cynipsea,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Sericomyia silentis,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sphaerophoria scripta,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Tricholinum sp1 M_PL_047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Unidentified sp16 M_PL_047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Unidentified sp3 M_PL_047,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
Unidentified sp5 M_PL_047,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
Unidentified sp7 M_PL_047,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Zaira cinerea,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,
Zophomyia temula,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,
Adela cuprella,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Adia cinerella ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Ammophila pubescens,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Anarta sp1 M_PL_047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Andrena barbilabris,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Andrena fuscipes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andrena tarsata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Andrena wilkella,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aplotarsus incanus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Arge ustulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Athous subfuscus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Autographa bractea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bibio lanigerus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Bombus cryptarum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bombus muscorum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bombus terrestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Calliopum aeneum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cephalops obtusinervis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Cerceris rybyensis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cheilosia albitarsis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Cheilosia urbana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Chrysomela collaris,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Chrysotoxum arcuatum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Chrysotoxum bicinctum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Coenosia femoralis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Coenosia sp1 M_PL_047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Coenosia tigrina,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Colletes cunicularius,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Colletes succinctus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conops flavipes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Conops quadrifasciatus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Crossocerus leucostoma,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Cynomya mortuorum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Dilophus humeralis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Dolichovespula norwegica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Egle brevicornis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Egle minuta,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Empis tessellata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Entomophaga nigrohalterata,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Eristalinus sepulchralis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Eristalis arbustorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Eristalis interrupta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eristalis intricaria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eristalis pertinax,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ernestia rudis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Formica sanguinea,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Halictus confusus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Hedychrum nobile,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hercostomus sp1 M_PL_047,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Heterostylodes pratensis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
