,arnica_montana,calluna_vulgaris,campanula_rotundifolia,cytisus_scoparius,empetrum_nigrum,chamerion_angustifolium,erica_tetralix,galeopsis_sp67,galium_saxatile,genista_anglica,genista_pilosa,hieracium_pilosella,hieracium_sp115,hieracium_umbellatum,hypochaeris_radicata,knautia_arvensis,potentilla_erecta,prunus_padus,prunus_serotina,salix_cinerea,salix_repens,scorzonera_humilis,solidago_virgaurea,sorbus_sp78,succisa_pratensis,taraxacum_sp195,trientalis_europaea,vaccinium_myrtillus,vaccinium_uliginosum,vaccinium_vitis-idaea,
Bombus pascuorum,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,
Apis mellifera,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,
Bellardia vulgaris,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,
Bombus lucorum,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,
Episyrphus balteatus,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,
Formica fusca,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,
Unidentified sp22 M_PL_048,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,
Bombus bohemicus,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,
Lasioglossum fratellum,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,
Syritta pipiens,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,
