,alstroemeria_aurea,aristotelia_chilensis,berberis_buxifolia,berberis_darwinii,calceolaria_crenatiflora,diplolepis_diemii,digitalis_purpurea,gavilea_odoratissima,mutisia_decurrens,ribes_magellanicum,rosa_rubiginosa,schinus_patagonicus,tristerix_corymbosus,vicia_nigricans,
Policana albopilosa,0,1,0,0,0,0,0,0,0,0,0,1,0,0,
Bombus dahlbomii,1,0,1,1,1,0,1,0,1,0,1,1,1,1,
Ruizantheda mutabilis,1,1,0,1,0,0,1,0,0,0,1,1,0,0,
Trichophthalma amoena,0,0,1,1,0,0,0,0,0,1,0,1,0,0,
Bombus ruderatus,1,0,0,0,0,0,1,0,0,0,0,0,0,1,
Colletes seminitidus,0,0,1,1,0,1,0,0,0,1,0,0,0,0,
Syrphus octomaculatus,1,0,0,1,0,0,0,0,0,0,1,1,0,0,
Manuelia gayi,1,0,0,1,0,0,0,0,1,0,0,0,0,0,
Allograpta hortensis,1,0,1,1,1,0,0,0,0,1,1,1,0,0,
Trichophthalma jaffueli,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
Anthaxia sp1 M_PL_051,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
Caenohalictus sp1 M_PL_051,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Phthiria sp1 M_PL_051,1,0,0,0,0,0,0,0,1,0,1,0,0,0,
Platycheirus sp1 M_PL_051,1,1,0,1,0,0,0,0,0,0,1,1,0,0,
Manuelia postica,1,0,0,1,0,0,0,0,0,0,0,1,1,0,
Heterosarus sp1 M_PL_051,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
Sapromyza fulvicornis,1,0,0,0,0,0,0,0,1,0,1,0,0,0,
Camponotus sp1 M_PL_051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp1 M_PL_051,0,0,0,0,0,1,0,0,0,1,0,0,0,0,
Unidentified sp2 M_PL_051,1,0,0,0,0,1,0,0,0,1,1,0,0,0,
Unidentified sp3 M_PL_051,1,0,0,0,0,0,0,0,0,0,1,1,0,0,
Megachile sp1 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp4 M_PL_051,0,1,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp5 M_PL_051,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Unidentified sp6 M_PL_051,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Chalepogenus caeruleus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Vespula germanica,1,0,0,0,0,0,1,0,1,0,1,0,0,0,
Unidentified sp7 M_PL_051,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Ocyptamus melanorrhinus,1,0,0,0,0,0,0,0,1,0,1,0,0,0,
Phthiria sp2 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp8 M_PL_051,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Unidentified sp9 M_PL_051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ruizantheda nigrocaerulea,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
Svastrides melanura,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chilicola sp1 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Evylaeus sp1 M_PL_051,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
Unidentified sp10 M_PL_051,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
Corynura prothysteres,1,1,0,0,0,0,1,0,0,0,0,0,0,0,
Megachile sp2 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp11 M_PL_051,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
Sephanoides galeritus,1,0,0,0,0,0,0,0,1,0,0,0,1,0,
Unidentified sp12 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
