,linnaea_sp18,linnaea_grandiflora,aesculus_carnea,aster_ageratoides,astragalus_sinicus,aucuba_japonica,baccharis_genistelloides,basella_alba,berberis_thunbergii,buddleja_davidii,callicarpa_japonica,calystegia_pubescens,camellia_japonica,camellia_sasanqua,campsis_grandiflora,cardamine_regeliana,cayratia_japonica,cercis_siliquastrum,cinnamomum_camphora,cirsium_sp53,citrus_tachibana,cladrastis_sikokiana,clerodendron_trichotomum,coreopsis_basalis,cornus_macrophylla,hylodesmum_podocarpum,deutzia_scabra,deutzia_gracilis,deutzia_maximowicziana,deutzia_scabra,edgeworthia_chrysantha,elaeagnus_multiflora,enkianthus_perulatus,erigeron_annuus,euonymus_fortunei,fatsia_japonica,forsythia_suspensa,fraxinus_griffithii,hibiscus_syriacus,hydrangea_macrophylla,hypericum_patulum,idesia_polycarpa,ilex_serrata,indigofera_tinctoria,iris_japonica,iris_pseudacorus,itea_parviflora,ixeris_dentatum,ixeris_japonica,justicia_procumbens,kerria_japonica,lespedeza_thunbergii,ligustrum_japonicum,ligustrum_obtusifolium,liriope_muscari,lonicera_morrowii,lyonia_ovalifolia,lythrum_anceps,berberis_japonica,malus_halliana,nandina_domestica,oxalis_corniculata,oxalis_debilis,paederia_foetida,persicaria_thunbergii,philadelphus_coronarius,phlox_subulata,photinia_glabra,phytolacca_americana,pieris_japonica,pollia_japonica,fallopia_baldschuanica,polygonum_posumbu,prunus_sp146,prunus_tomentosa,pyracantha_angustifolia,pyracantha_crenulata,ranunculus_silerifolius,rhododendron_macrosepalum,rhododendron_mucronatum,rhododendron_sp32,brucea_javanica,rhus_sylvestris,rorippa_indica,rosa_borboniana,securinega_sp114,serissa_japonica,spiraea_blumei,spiraea_cantoniensis,spiraea_thunbergii,spiraea_sp148,spiranthes_vernalis,stellaria_media,stewartia_monadelpha,cornus_alba,syringa_vulgaris,taraxacum_japonicum,tilia_japonica,tilia_miqueliana,torilis_japonica,tradescantia_ohiensis,trifolium_repens,ulmus_davidiana,vaccinium_oldhamii,veronica_persica,veronicastrum_sibiricum,viburnum_dilatatum,viburnum_erosum,viburnum_suspensum,viola_mandshurica,vitex_negundo,weigela_hortensis,wisteria_floribunda,
Anthrenus verbasci ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Xylocopa appendiculata circumvolan ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,
Apis cerana japonica ,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,
Chalicodoma sp1 M_PL_054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Anthidium septemspinosum ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Lasioglossum occidens,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Oxycetonia jucunda ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Apis mellifera,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Mordellistena sp1 M_PL_054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Tetralonia nipponens ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
