,aetheorhiza_bulbosa,allium_ampeloprasum,lobularia_maritima,brassica_fruticulosa,carpobrotus_sp130,cistus_albidus,cistus_monspeliensis,cistus_salviifolius,convolvulus_althaeoides,daucus_carota,dianthus_caryophyllus,dorycnium_pentaphyllum,echium_sabulicola,eryngium_campestre,euphorbia_segetalis,galactites_tomentosa,tuberaria_guttata,helichrysum_stoechas,hypericum_perforatum,lathyrus_clymenum,lavandula_stoechas,linum_sp93,opuntia_stricta,bituminaria_bituminosa,rosmarinus_officinalis,ruta_chalepensis,lomelosia_stellata,sedum_sediforme,sonchus_tenerrimus,thymelaea_hirsuta,urospermum_picroides,vicia_lutea,
Andrena sp1 M_PL_058,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,
Apis mellifera,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,
Mordellistena pumila,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,
Oedemera lurida,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
Oxythyrea funesta ,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,
Anthidium sticticum,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,
Psilothrix sp1 M_PL_058,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
Unidentified sp35 M_PL_058,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,
Bombus terrestris,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,
Oedemera flavipes,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,
Myrabilis quadripunctata,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,
Lasioglossum sp1 M_PL_058,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,
Mordella bipunctata,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,
Halictus gemmeus,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,
Unidentified sp38 M_PL_058,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Criptocephalus sp1 M_PL_058,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
Unidentified sp43 M_PL_058,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,
Xylocopa sp1 M_PL_058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Halictus pyrenaicus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,
Colletes sp1 M_PL_058,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,
Amegilla femorata,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
