,banisteriopsis_muricata,banisteriopsis_schizoptera,banisteriopsis_stellaris,byrsonima_gardnerana,carolus_chasei,dicella_bracteosa,diplopterys_pubipetala,heteropterys_sp11,heteropterys_sp66,janusia_anisandra,stigmaphyllon_auriculatum,stigmaphyllon_ciliatum,stigmaphyllon_paralias,
Centris aenea,1,1,1,1,1,1,1,1,1,1,1,1,1,
Centris fuscata,1,1,1,1,1,1,1,1,1,1,1,1,1,
Centris caxiensis,1,1,1,1,1,1,1,1,1,0,1,0,0,
Centris tarsata,1,1,1,1,1,1,1,1,1,1,0,0,0,
Centris flavifrons,1,0,0,1,0,1,1,1,0,0,1,1,0,
Centris trigonoides,1,0,0,0,0,0,1,1,1,0,0,0,0,
Centris obsoleta,1,0,0,0,0,0,0,0,0,0,0,0,0,
Epicharis sp1 M_PL_059,1,0,0,0,0,0,1,1,1,0,0,0,0,
Apis mellifera,1,0,0,1,0,0,1,0,1,0,0,0,0,
Centris sp1 M_PL_059,0,0,0,0,0,0,1,0,0,0,0,0,0,
Centris sp2 M_PL_059,1,0,0,0,0,0,0,0,0,0,0,0,0,
Xylocopa sp1 M_PL_059,1,0,0,0,0,0,0,1,0,0,0,0,0,
Xylocopa grisescens,1,0,0,0,0,0,0,0,0,0,0,0,0,
