"network"	"Jaccard_slope"	"Jaccard_p"	"n_pairs"
"1"	"Plant_herbivore_matrices/ph_bassett_1996_handmade"	"-0.315068321031705"	"0.484142900028627"	"45"
"2"	"Plant_herbivore_matrices/ph_bluthgen_2006_borneo_handmade"	"0.113800583757525"	"0.140873073790867"	"946"
"3"	"Plant_herbivore_matrices/ph_bodner_2010_handmade"	"-0.23548111642551"	"0.401359213322526"	"987"
"4"	"Plant_herbivore_matrices/ph_coley_2006_panama_handmade"	"0.0547738926362115"	"0.703052519856364"	"780"
"5"	"Plant_herbivore_matrices/ph_notovny_2012_newGuinea_chewersonly"	"-0.279924074350024"	"0.00434450293203338"	"703"
"6"	"Plant_herbivore_matrices/ph-ibanez-2011-frenchalps-handmade"	"-0.359941775568291"	"0.0132213449490556"	"276"
"7"	"Plant_herbivore_matrices/ph-joern-1979-altuda-Texas"	"-0.423232929355505"	"0.00105624277047738"	"595"
"8"	"Plant_herbivore_matrices/ph-joern-1979-marathon-Texas"	"-0.515663441193916"	"4.33707008700421e-06"	"741"
"9"	"Plant_herbivore_matrices/ph-peralta-2014-marlborough-metaweb"	"0.0304400097368649"	"0.595058681312505"	"1809"
"10"	"Plant_herbivore_matrices/ph-sheldon-1978-washington-handmade"	"-0.406301184426444"	"0.0530571902755064"	"105"
"11"	"Plant_herbivore_matrices/ph-ueckert-1971-colorado-handmade"	"-0.317100165162071"	"2.09200776855594e-05"	"861"
"12"	"Stouffer_Ecology_Matrices/M_PL_001"	"-0.157125289114686"	"0.0199497825023427"	"3486"
"13"	"Stouffer_Ecology_Matrices/M_PL_002"	"-0.186567595991113"	"0.162262092159469"	"903"
"14"	"Stouffer_Ecology_Matrices/M_PL_003"	"-0.0859354144299581"	"0.411340840163672"	"630"
"15"	"Stouffer_Ecology_Matrices/M_PL_004"	"0.185196028036513"	"0.701022396876978"	"66"
"16"	"Stouffer_Ecology_Matrices/M_PL_005"	"-0.0485292746892727"	"0.53324058856281"	"4186"
"17"	"Stouffer_Ecology_Matrices/M_PL_006"	"-0.303058845540776"	"0.25484523501029"	"120"
"18"	"Stouffer_Ecology_Matrices/M_PL_007"	"-0.184236003432396"	"0.496606376515587"	"120"
"19"	"Stouffer_Ecology_Matrices/M_PL_008"	"0.0810501436664862"	"0.836834083670923"	"55"
"20"	"Stouffer_Ecology_Matrices/M_PL_009"	"-0.0577792147972218"	"0.793037689748808"	"276"
"21"	"Stouffer_Ecology_Matrices/M_PL_010"	"-0.0481658822892219"	"0.677777982354486"	"465"
"22"	"Stouffer_Ecology_Matrices/M_PL_011"	"-0.14875159097274"	"0.525492841836102"	"91"
"23"	"Stouffer_Ecology_Matrices/M_PL_012"	"0.140473071171869"	"0.381403886967372"	"406"
"24"	"Stouffer_Ecology_Matrices/M_PL_013"	"-0.0765997736885201"	"0.873696559657413"	"36"
"25"	"Stouffer_Ecology_Matrices/M_PL_014"	"-0.217232794682842"	"0.218611582524128"	"406"
"26"	"Stouffer_Ecology_Matrices/M_PL_015"	"-0.105113255690679"	"0.0294582591730361"	"8256"
"27"	"Stouffer_Ecology_Matrices/M_PL_016"	"-0.215433838250122"	"0.281535208312938"	"325"
"28"	"Stouffer_Ecology_Matrices/M_PL_017"	"-0.174390389479806"	"0.248268442246671"	"300"
"29"	"Stouffer_Ecology_Matrices/M_PL_018"	"-0.133958508916607"	"0.296752800289627"	"703"
"30"	"Stouffer_Ecology_Matrices/M_PL_019"	"-0.0814960091046571"	"0.521686376751197"	"780"
"31"	"Stouffer_Ecology_Matrices/M_PL_020"	"0.16624423360994"	"0.682391922648901"	"190"
"32"	"Stouffer_Ecology_Matrices/M_PL_021"	"0.0747469627035793"	"0.356659731233266"	"4005"
"33"	"Stouffer_Ecology_Matrices/M_PL_022"	"0.15072360655575"	"0.60807275226733"	"210"
"34"	"Stouffer_Ecology_Matrices/M_PL_023"	"-0.26492338512575"	"0.234770255510361"	"253"
"35"	"Stouffer_Ecology_Matrices/M_PL_024"	"0.232546896751234"	"0.634491927360189"	"55"
"36"	"Stouffer_Ecology_Matrices/M_PL_025"	"-0.0429882412177955"	"0.888207007917704"	"78"
"37"	"Stouffer_Ecology_Matrices/M_PL_026"	"0.0503644880969007"	"0.0906004126963676"	"4656"
"38"	"Stouffer_Ecology_Matrices/M_PL_027"	"-0.157633646316501"	"0.610908642322697"	"153"
"39"	"Stouffer_Ecology_Matrices/M_PL_028"	"-0.112184682609222"	"0.438048433319944"	"820"
"40"	"Stouffer_Ecology_Matrices/M_PL_029"	"-0.00813931605113166"	"0.938947590423264"	"1081"
"41"	"Stouffer_Ecology_Matrices/M_PL_030"	"-0.225595397607411"	"0.380473628890509"	"351"
"42"	"Stouffer_Ecology_Matrices/M_PL_031"	"-0.0974385916024423"	"0.404093220019925"	"1128"
"43"	"Stouffer_Ecology_Matrices/M_PL_032"	"-0.342106770773217"	"0.562454398452333"	"21"
"44"	"Stouffer_Ecology_Matrices/M_PL_033"	"-0.600499325423247"	"0.0418770647549451"	"78"
"45"	"Stouffer_Ecology_Matrices/M_PL_034"	"-0.16202709617537"	"0.300915101822144"	"325"
"46"	"Stouffer_Ecology_Matrices/M_PL_035"	"0.127438698235762"	"0.0755827200363154"	"1830"
"47"	"Stouffer_Ecology_Matrices/M_PL_036"	"-0.425207406065173"	"0.319044975132123"	"45"
"48"	"Stouffer_Ecology_Matrices/M_PL_037"	"-0.253554968775463"	"0.625775199195624"	"36"
"49"	"Stouffer_Ecology_Matrices/M_PL_038"	"-0.392356355002138"	"0.386634409981926"	"28"
"50"	"Stouffer_Ecology_Matrices/M_PL_039"	"-0.12590194687562"	"0.58820677105483"	"105"
"51"	"Stouffer_Ecology_Matrices/M_PL_040"	"-0.336421223970958"	"0.317850905830978"	"136"
"52"	"Stouffer_Ecology_Matrices/M_PL_041"	"-0.333380598151651"	"0.0166874554501722"	"435"
"53"	"Stouffer_Ecology_Matrices/M_PL_042"	"-0.0841649485355964"	"0.735133378846046"	"66"
"54"	"Stouffer_Ecology_Matrices/M_PL_043"	"-0.158683368667626"	"0.321329471174481"	"378"
"55"	"Stouffer_Ecology_Matrices/M_PL_044"	"-0.515093938397446"	"0.000259422412278152"	"5886"
"56"	"Stouffer_Ecology_Matrices/M_PL_045"	"0.125350165352541"	"0.678426828335017"	"136"
"57"	"Stouffer_Ecology_Matrices/M_PL_046"	"-0.119935065969101"	"0.54708610243908"	"105"
"58"	"Stouffer_Ecology_Matrices/M_PL_047"	"-0.12914036636814"	"0.612323421818178"	"153"
"59"	"Stouffer_Ecology_Matrices/M_PL_048"	"-0.0585853922484437"	"0.752098788036911"	"406"
"60"	"Stouffer_Ecology_Matrices/M_PL_049"	"-0.118855723050761"	"0.327907946996239"	"630"
"61"	"Stouffer_Ecology_Matrices/M_PL_050"	"-0.000258965521693008"	"0.999343752626149"	"91"
"62"	"Stouffer_Ecology_Matrices/M_PL_051"	"-0.280468248836781"	"0.444199093549543"	"91"
"63"	"Stouffer_Ecology_Matrices/M_PL_052"	"-0.126971301851744"	"0.661004250424005"	"105"
"64"	"Stouffer_Ecology_Matrices/M_PL_053"	"-0.405577068258257"	"0.00018636890948218"	"4851"
"65"	"Stouffer_Ecology_Matrices/M_PL_054"	"0.0047406899983295"	"0.954766436501281"	"6216"
"66"	"Stouffer_Ecology_Matrices/M_PL_055"	"-0.0841499804383853"	"0.528675160724566"	"2016"
"67"	"Stouffer_Ecology_Matrices/M_PL_056"	"-0.0858595497516431"	"0.340958610178449"	"4005"
"68"	"Stouffer_Ecology_Matrices/M_PL_057"	"-0.0832918429576968"	"0.287752735525768"	"6105"
"69"	"Stouffer_Ecology_Matrices/M_PL_058"	"-0.311168164807471"	"0.0207865580647797"	"496"
"70"	"Stouffer_Ecology_Matrices/M_PL_059"	"0.0075059430042797"	"0.973784753661017"	"78"
