,Prunus domestica,Prunus spinosa,Prunus cerasus,Prunus avium,Prunus padus
Abraxas grossulariata,0,0,0,0,1
Acronicta psi,1,0,1,1,1
Acronicta strigosa,0,0,0,0,1
Agriopis aurantiaria,0,0,0,0,1
Allophyes oxycanthae,1,1,1,0,1
Angerona prunaria,0,0,0,0,1
Apocheima pilosaria,0,0,0,0,1
Aporia crataegi,0,1,0,1,1
Bison betularia,1,0,0,1,1
Blepharita satura,0,0,0,0,1
Chloroclysta siterata,0,0,0,0,1
Chloroclystis chloerata,0,0,0,0,1
Chloroclystis rectangulata,0,0,0,0,1
Colocasia coryli,1,0,0,0,1
Colotois pennaria,0,0,0,0,1
Crocallis elinguaria,0,0,0,0,1
Dasychira fascelina,0,0,0,0,1
Diloba caeruleocephala,0,1,1,1,1
Electrophaes corylata,0,0,0,1,1
Epirrita christyi,0,0,0,0,1
Erannis defoliaria,0,1,0,0,1
Eriogaster lanestris ,0,0,1,0,1
Eupithecia exiguata,0,0,0,0,1
Eupsilia transversa,1,0,1,0,1
Eurois occulata,0,0,0,0,1
Lasiocampa quercus,0,0,0,0,1
Lithophane socia,0,0,0,0,1
Lomographa bimaculata,0,0,0,0,1
Lomographa temerata,0,0,1,0,1
Naenia typica,0,0,0,0,1
Nola cucullatella,0,0,0,0,1
Odontopera bidentata,0,0,0,0,1
Operophtera brumata,1,0,1,0,1
Opisthograptis luteolata,1,0,0,0,1
Orthosia gothica,1,0,0,0,1
Orthosia gracilis,0,0,1,0,1
Plagodis pulveraria,0,0,0,0,1
Plemyria rubiginata,0,0,0,0,1
Selenia dentaria,0,0,0,0,1
Selenia lunalaria,0,0,0,0,1
Selenia tetralunaria,0,0,0,0,1
Smerinthus ocellata,0,0,0,0,1
Strymonidia pruni,0,0,0,0,1
Thecla betulae,1,0,0,0,1
Trichiura crataegi,0,0,0,0,1
Triphosa dubitata,0,0,0,0,1
Abraxas sylvata,0,0,0,0,1
Agrochola circellaris,0,0,0,0,1
Arctia caja,1,0,0,0,1
Boarmia punctinalis,0,0,0,0,1
Brachionycha nubeculosa,0,0,0,0,1
Camptogramma bilineata,0,0,0,0,1
Chloroclysta truncata,0,0,0,0,1
Conistra vaccinii,0,0,0,0,1
Cosmia trapezina,1,1,1,0,1
Dasychira pudibunda,0,0,0,0,1
Epirrita autumnata,1,0,0,0,1
Euproctis similis,0,0,0,0,1
Lithophane ornitopus,0,0,0,0,1
Lycia hirtaria,0,0,0,0,1
Lycia pomonaria,0,0,0,0,1
Polia bombycina,0,0,0,0,1
Psyche betulina,0,0,0,0,1
Xanthia togata,0,0,0,0,1
