,Myrica pubescens,Hyptis sp,Heliocarpus americanus,Begonia parviflora,Ageratina dendroides,Viburnum stipitatum,Cavendishia sp,Baccharis latifolia,unknown lichen,Solanum sp_probably,Melastomataceae unknown_sp,Solanum nutans,Boehmeria,Munnozia hastifolia,Monochaetum lineatum,Tibouchina lepidota,Tibouchina laxa,Clethra revoluta,Ericaceae sp_indet,Ericaceae sp_indet2,Erato polymnioides,Sida rhombifolia,Tapirira guianensis,Sticherus sp,Axinaea sp,Pteridium arachnoideum,Urticaceae sp_indet,Saurauia sp,Piper sp_typeIII,Fuchsia lehmannii,Tabebuia chrysantha,Miconia sp,Pteridium sp,Stemodia suffructicosa,Faramea uniflora,Baccharis sp,Boehmeria sp2,Paullinia grandifolia,Baccharis genistelloides,Siparuna aspera,Monochaetum sp,Piper sp_typeVIII,Piper perareolatum,Piper sp_typeI,Piper carpunya,Gaultheria erecta
Pero_maculicosta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryoptera,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glena_juga,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glena_sp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iridopsis_scolancala,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iridopsis_subnigrata,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanolophia_atigrada,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanolophia_corza,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanolophia_reducta_meridiana,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oenoptila_nigriceps,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
