,Hydriastele microspadix,Arctocarpus camansi,Ficus botryocarpa,Breynia cernua,Casearia erythrocarpa,Ficus conocephalifolia,Ficus copiosa,Ficus dammaropsis,Dracaena angustifolia,Endospermum labios,Eupomatia laurina,Gardenia hansemannii,Homalanthus novoguineensis,Macaranga densiflora,Macaranga brachytricha,Mallotus mollissimus,Macaranga ducis,Macaranga quadriglandulosa,Melanolepis multiglandulosa,Ficus nodosa,Osmoxylon sessiliflorum,Pavetta platyclada,Ficus phaeosyce,Pimelodendron amboinicum,Premna obtusifolia,Psychotria leptothyrsa,Psychotria micralabastra,Psychotria micrococca,Pterocarpus indicus,Ficus pungens,Ficus septica,Kibara coriacea,Sterculia schumanniana,Tabernaemontana aurantiaca,Timonius timon,Ficus trachypison,Ficus variegata,Ficus wassa
CURC012,0,121,3,4,89,3,19,6,249,82,112,219,55,160,23,71,68,65,44,15,28,195,3,43,47,44,77,139,73,11,3,27,79,77,172,0,16,9
CURC010,4,62,0,5,75,7,0,2,34,44,189,133,57,73,16,50,89,30,20,0,33,83,0,49,50,23,83,75,70,0,0,21,53,62,129,0,0,2
CRAM045,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRY125,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRI001,43,70,23,0,33,14,11,24,32,0,40,72,131,8,9,21,9,4,46,13,87,77,20,6,74,56,71,75,44,21,22,10,22,86,52,20,12,14
CURC002,5,48,6,9,37,0,14,0,18,63,50,65,97,83,12,17,26,29,66,18,49,120,2,15,95,61,190,70,63,0,0,48,77,47,99,0,0,0
CURC001,0,25,0,2,27,8,12,0,28,36,30,62,42,203,10,58,66,35,50,0,41,28,0,21,51,9,34,46,41,12,0,19,12,15,51,0,11,0
ACRI011,17,12,0,0,6,4,2,2,6,0,4,34,2,0,3,3,2,0,2,9,76,8,3,0,18,35,42,22,18,4,0,2,16,25,14,15,2,5
CURC040,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,16,6,0,0,55,2,8,5,0,0,0,0,2,2,27,0,0,0
PHAS007,0,4,0,0,0,0,0,0,6,0,0,19,0,0,0,0,0,0,0,0,7,133,0,0,9,60,194,293,3,4,0,5,21,2,17,0,0,0
ACRI023,3,0,0,0,5,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,7,11,0,0,0,7,6,10,2,0,0,2,0,4,2,0,0,0
ACRI014,7,22,6,0,2,0,0,0,0,0,7,12,3,5,0,0,0,8,4,0,4,4,0,0,8,4,8,3,51,0,0,0,3,0,20,8,11,0
PHAS002,4,5,0,0,5,0,5,3,0,0,0,8,0,0,0,0,0,0,0,4,7,5,5,0,0,0,2,5,18,3,0,6,10,2,5,5,3,6
CHRY001,0,210,22,3,0,3,138,35,0,0,0,7,10,12,20,185,76,44,28,6,0,10,14,3,4,0,3,0,6,12,21,0,6,0,0,42,63,51
CURC003,0,0,0,2,5,0,5,0,0,5,2,6,5,0,0,3,4,4,7,0,0,0,0,2,2,3,2,2,0,0,0,0,0,0,0,0,2,3
CHRY126,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XXXX089,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRI013,5,5,5,0,0,0,0,6,2,0,3,4,0,0,0,0,4,3,3,2,13,3,0,0,0,4,9,5,2,0,2,0,2,5,6,0,3,2
CHRY158,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XXXX092,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERA009,3,4,5,3,4,3,2,4,2,3,3,2,2,0,0,0,0,2,0,2,3,4,7,0,2,8,3,2,0,4,0,3,6,7,0,4,11,0
CERA011,3,4,4,0,7,4,3,6,4,0,4,2,0,0,0,0,0,0,0,0,0,8,6,2,3,4,5,5,2,6,3,4,11,5,0,3,3,4
CERA022,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,3,3,2,2,0,2,0
