,Acaena pinnatifida,Adesmia aconcaguensis,Adesmia brachysemeon,Adesmia conferta,Adesmia exilis,Adesmia montana,Adesmia papposa var  radicifolia,Alstroemeria pallida,Anarthrophyllum cumingii,Asteriscium aemocarp,Astragalus curvicaulis,Astragalus sp1 M_PL_001,Barneoudia chilensis,Berberis empetrifolia,Berberis montana,Bowlesia tropaeolifolia,Calandrinia affinis,Calceolaria arachnoides,Calceolaria biflora,Calceolaria montana,Calceolaria sp  Indet ,Cardamine nivalis,Cerastium arvense,Chaetanthera euphrasioides,Chaetanthera microphylla,Chuquiraga oppositifolia,Clarkia tenella,Collomia biflora,Cynoglossum sp1 M_PL_001,Erodium cicutarium,Euphorbia portulacoides,Haplopappus chrysanthemifolius,Hypochoeris sp1 M_PL_001,Lathyrus subandinus,Lepidium philippianum,Leuceria landbeckii,Leucocoryne ixioides,Leucocoryne pauciflora,Loasa heterophylla,Loasa sigmoidea,Lupinus microcarpus,Madia sativa,Malesherbia linearifolia,Montiopsis potentilloides,Mulinum spinosum,Mutisia acerosa,Mutisia sinuata,Mutisia subulata,Nardophyllum lanatum,Nassauvia heterophylla,Noticastrum sericeum,Oenothera acaulis,Oxalis cinerea,Oxalis sp1 M_PL_001,Oxalis squamata,Perezia carthamoides,Phacelia secunda,Quinchamalium chilense,Rhodophiala montana,Rhodophiala uniflora,Salpiglossis sp1 M_PL_001,Sanicula graveolens,Schizanthus grahamii,Scyphanthus elegans,Senecio bustillosianus,Senecio erucaeformis,Senecio francisci,Senecio lithostaurus,Sisyrinchium arenarium,Sisyrinchium junceum,Sisyrinchium philippii,Solanum tomatillo,Solenomelus sisyrinchium,Stachys albicaulis,Tetraglochin alatum,Trichocereus,Tristagma sessile,Tropaeolum polyphyllum,Tropaeolum sessilifolium,Tropaeolum tricolor,Valeriana graciliceps,Verbena scoparia,Viviania marifolia,Zoellnerallium andinum
Scaeva melanostoma,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,
Unidentified sp1 M_PL_001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,
Unidentified sp2 M_PL_001,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,
Megachile semirufa,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
Centris cineraria,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
Megachile sp1 M_PL_001,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,
Caenohalictus sp1 M_PL_001,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Alloscirtetica sp1 M_PL_001,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Auca coctei-pales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Anthidium chilensis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Etcheverrius chilensis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
