,Acaena pinnatifida,Anarthrophyllum cumingii,Anarthrophyllum gayanum,Astragalus curvicaulis,Azorella madreporica,Azorella monantha,Berberis empetrifolia,Calandrinia affinis,Calceolaria arachnoides,Calceolaria biflora,Cardamine nivalis,Cerastium arvense,Cerastium humifusum,Chaetanthera apiculata,Chaetanthera euphrasioides,Chaetanthera pusilla,Chuquiraga oppositifolia,Discaria nana,Erigeron andicola,Euphorbia portulacoides,Laretia acaulis,Loasa caespitosa,Montiopsis cistiflora,Montiopsis sericea,Mutisia sinuata,Nassauvia axillaris,Nassauvia heterophylla,Nassauvia pyramidalis,Oxalis cinerea,Oxalis compacta,Oxalis squamata,Ranunculus peduncularis,Sanicula graveolens,Senecio bustillosianus,Senecio erucaeformis,Senecio francisci,Senecio sp1 M_PL_002,Tristagma bivalve,Tropaeolum polyphyllum,Viola philippii,Weberbauera stenophylla,Werneria pygmaea,Zoellnerallium andinum
Unidentified sp1 M_PL_002,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,
Unidentified sp2 M_PL_002,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,
Scaeva melanostom,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,
Bombus dahlbomii,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,
Unidentified sp3 M_PL_002,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
Caenohal sp1 M_PL_002,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
Hypodynerus sp1 M_PL_002,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,
Yramea modesta,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,
Auca coctei-pales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,
Habromyia lipoflava,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andinus venustus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,
Etcheverrius chilensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
