,Arnica alpina,Cassiope tetragona,Cerastium alpinum,Draba sp1 M_PL_020,Dryas integrifolia,Erigeron compositus,Erigeron eriocephalus,Erysimum pallasii,Lesquerella arctica,Papaver radicatum,Pedicularis arctica,Pedicularis capitata,Polygonum viviparum,Potentilla nivea,Ranunculus sulphureus,Salix arctica,Saxifraga hirculus,Saxifraga oppositifolia,Stellaria longipes,Taraxacum arctogenum
Bombus sp1 M_PL_020,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,
Carposcalis carinata,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,
Limnophyes sp1 M_PL_020,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,
Rhamphomyia filicauda,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,
Sciari sp1 M_PL_020,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,
Smittia sp1 M_PL_020,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,
Boreellus atriceps,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,
Peleteria aenea,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,
Smittia velutina,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,
Dictyna borealis,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,
Eupogonomyia groenlandica,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
Xysticus deichmanni,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,
Anarta richardsoni,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,
Boloria chariclea,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
Boloria polaris,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
Bryobia praetiosa,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
Colias hecla,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
Crymodes exulis,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Lasiestra leucocycla,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Metasyrphus chillcotti,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
Paraphaenocladius despectus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,
Periscepsia sp1 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
Rhamphomyia sp1 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
Scatophaga apicaulis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
Stenomacrus sp1 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
Tachinidae sp1 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
Aedes sp1 M_PL_020,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Calliphoridae sp1 M_PL_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
Ceratopogon sp1 M_PL_020,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Fucellia pictipennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
Lycaena feildeni,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
Nematus sp1 M_PL_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
Olethreutes inquietana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
Phalacrodira nigropilosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,
