,Adesmia retrofracta,Arjona patagonica,Baccharis glutinosa,Discaria trinervis,Eriosyce strausiana,Grindelia chiloensis,Hysterionica jasionoides,Junellia tonini,Larrea divaricata,Lathyrus sp1 M_PL_023,Lecanophora heterophylla,Mimulus sp1 M_PL_023,Mutisia decurrens,Oenothera mendocinensis,Opuntia corrugata,Oxalis sp1 M_PL_023,Phacelia secunda,Polygala stenophylla,Rapistrum rugosum,Rosa rubiginosa,Senecio filaginoides,Senecio subulatus,Thelesperma megapotamicum
Copestylum aricia,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,
Scaeva occidentalis,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,
Megachile sp2 M_PL_023,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,
Psaenythia rufipes,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Unidentified sp26 M_PL_023,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Callonychium mandibulare,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Carposcalis punctulata,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dialictus sp1 M_PL_023,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Dialictus sp2 M_PL_023,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
Megachile sp1 M_PL_023,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp16 M_PL_023,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Vanessa cardui ,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Apis mellifera,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Arhysosage bifasciata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Centris sp1 M_PL_023,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
Colletes lycii,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Compsomyiops fulvicrura ,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Copestylum sp1 M_PL_023,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
