,Arnica alpina,Astragalus alpinus,Caltha palustris var  palustris,Cerastium alpinum,Dryas integrifolia,Geum rossii var  rossii,Oxytropis arctica var  arctica,Papaver radicatum,Petasites frigidus var  frigidus,Potentilla vahliana,Taraxacum sp1 M_PL_024
Spilogona sanctipauli,1,0,1,1,1,0,0,0,0,1,1,
Bombus polaris,0,1,0,0,0,0,0,0,1,0,0,
Spilogona almquistii ,1,0,1,0,1,1,0,1,0,1,1,
Colias hecla,0,1,0,0,0,0,0,0,0,0,0,
Eupogonomyia probilofensis ,1,0,0,0,1,0,0,0,0,1,0,
Boloria improba ,0,0,0,0,1,0,0,0,0,0,0,
Pogonomyiodes segnis ,0,0,0,0,1,0,0,1,0,1,0,
Spilogona latilamina,0,0,0,0,0,0,0,0,0,1,0,
Boreellus atriceps,0,0,0,0,0,0,0,0,0,1,1,
Spilogona dorsata,0,0,1,0,0,0,0,0,0,1,0,
Spilogona projecta ,0,0,0,1,1,0,0,0,0,0,0,
Spilogona aesturium ,0,0,0,0,0,0,0,0,0,0,1,
Spilogona melanosoma,0,0,1,0,0,0,0,0,0,1,0,
Anarta richardsoni,0,0,0,0,0,0,1,0,0,0,0,
Colias nastes ,0,1,0,0,0,0,0,0,0,0,0,
Protocalliphora sp1 M_PL_024,0,0,0,0,0,0,0,0,0,1,0,
Rhamphomyia sp1 M_PL_024,0,0,0,0,0,0,0,0,0,0,1,
Spilogona hurdiana ,0,0,1,0,0,0,0,0,0,0,0,
