,Abelmoschus manihot,Abutilon depauperatum,Acacia insulae-iacobi,Acacia macracantha,Ageratum conyzoides,Avicennia germinans,Bacopa monniera,Bastardia viscosa,Bidens pilosa,Bougainvillea sp1 M_PL_026,Brassica campestris,Bursera graveolens,Caesalpinia pulcherrima,Canna sp1 M_PL_026,Capsicum frutescens,Cardiospermum corindum,Carica papaya,Cassia occidentalis,Cassia sp1 M_PL_026,Castela galapageia,Catharanthus roseus,Chiococca alba,Clerodendrum molle,Clerodendrum molle var  glabrescens,Coffea arabica,Commicarpus tuberosus,Cordia leucophlyctis,Cordia lutea,Cordia sp1 M_PL_026,Crotalaria incana,Croton scouleri,Cryptocarpus pyriformis,Cucurbita pepo,Cuphea racemosa,Darwiniothamnus tenuifolius,Diodia radula,Encelia hispida,Euphorbia cyathophora,Exodeconus miersii,Galactia striata,Galvezia leucantha,Galvezia leucantha subsp  pubescens,Geoffroea spinosa,Gossypium barbadense,Gossypium sp1 M_PL_026,Hibiscus tiliaceus,Inga edulis,Ipomoea linearifolia,Ipomoea pes-caprae,Ipomoea sp1 M_PL_026,Jaegeria gracilis,Justicia galapagana,Lantana peduncularis,Lycopersicon cheesmanii,Macraea laricifolia,Malvastrum coromandelianum,Mentzelia aspera,Miconia robinsoniana,Mirabilis jalapa,Momordica charantia,Nolana galapagensis,Opuntia echios,Opuntia echios var  gigantea,Opuntia helleri,Opuntia megasperma,Opuntia sp1 M_PL_026,Opuntia sp2 M_PL_026,Parkinsonia aculeata,Passiflora foetida,Persea americana,Phyla sp1 M_PL_026,Physalis pubescens,Piscidia carthagenensis,Plumbago scandens,Polygonum opelousanum,Portulaca oleracea,Prosopis juliflora,Psidium guajava,Psychotria rufipes,Rhynchosia minima,Scaevola plumieri,Scalesia affinis,Scalesia bauri,Scalesia helleri,Scalesia pedunculata,Scalesia sp1 M_PL_026,Senna pistaciifolia var  picta,Sesuvium portulacastrum,Setaria geniculata,Sida acuta,Sida paniculata,Sida rhombifolia,Sida spinosa,Solanum americanum,Solanum cheesmaniae,Sonchus oleraceus,Stachytarpheta cayennensis,Tetramerium nervosum,Tournefortia psilostachya,Tournefortia rufo-sericea,Tribulus cistoides,Vallesia glabra,Vigna luteola,Waltheria ovata
Xylocopa darwini,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,
Phoebis sennae,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,
Leptotes parrhasioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,
Atteva hysginiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Toxomerus crockeri,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Urbanus dorantes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wasmannia auropunctata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Agrius cingulatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Utetheisa galapagensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,
Euchrombius ocellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
