,Bejaria aestuans,Bonnetia sessilis,Borreria capitata,Brocchinia acuminata,Calea lucidivenia,Catasetum discolor,Chromolaena sp1 M_PL_031,Cleistes stricta,Clusia grandiflora,Clusia pusilla,Cybianthus quelchii,Cyrilla racemiflora,Declieuxia fruticosa,Digomphia laurifolia,Epidendrum ibaguense,Epistephium duckei,Eriopsis biloba,Galactophora schomburgkiana,Heliamphora heterodoxa,Humiria balsamifera,Ilex retusa,Irlbachia nemorosa,Lepidaploa bolivarensis,Macairea pachyphylla,Macairea parvifolia,Mandevilla benthamii,Marcetia taxifolia,Meriania sclerophylla,Miconia ciliata,Mikania psilostachya,Notopora schomburgkii,Pagameopsis garryoides,Passovia stelis,Philodendron callosum subsp  ptarianum,Poecilandra retusa,Remijia densiflora,Sauvagesia angustifolia,Sipanea galioides,Siphanthera cordifolia,Sobralia liliastrum,Stegolepis angustata,Ternstroemia crassifolia,Tibouchina fraterna,Tococa nitens,Vaccinium euryanthum,Vaccinium puberulum,Vismia lauriformis,Xyris setigera
Apis mellifera,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,
Melipona scutellaris,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,
Xylocopa sp1 M_PL_031,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,
Bombus volucelloides,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,
Euglossa sp1 M_PL_031,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,
Bombus pullatus,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,
Politmus milleri,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
Bombus atratus,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
Augochloropsis sp1 M_PL_031,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
Cerciris sp1 M_PL_031,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Polybia scrobalis,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Calicopis sp1 M_PL_031,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Ceratina sp1 M_PL_031,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Augochlora sp1 M_PL_031,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Campsomeris sp1 M_PL_031,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Copestylum sp1 M_PL_031,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
