,Andromeda glaucophylla,Aronia melanocarpa,Calopogon pulchellus,Chamaedaphne calyculata,Gaylussacia baccata,Kalmia angustifolia,Kalmia polifolia,Ledum groenlandicum,Nemopanthus mucronatus,Salix fragilis,Smilacina trifolia,Spiraea alba,Vaccinium myrtilloides
Dilophus caurinus,0,0,0,0,0,0,0,0,1,0,0,0,0,
Andrena vicina,0,1,0,1,1,0,1,1,1,1,0,0,1,
Bombus terricola,0,0,0,0,1,0,0,1,0,1,0,1,1,
Colletes inaequalis,0,1,0,1,0,0,0,1,0,1,0,0,1,
Andrena regularis,0,1,0,1,1,0,1,1,1,0,0,0,1,
Pyrobombus ternarius,1,1,0,1,1,1,1,1,1,1,0,1,1,
Andrena bradleyi,0,0,0,1,1,0,1,0,0,1,0,0,1,
Cyphon variabilis,0,0,0,0,0,0,0,0,0,1,0,0,0,
Andrena mandibularis,0,0,0,1,0,1,1,1,1,0,0,0,1,
Pyrobombus sandersoni,0,1,0,1,1,1,1,1,0,1,0,1,1,
Sercomyia transversa,0,0,0,0,1,1,1,1,0,0,0,0,1,
Pyrobombus impatiens,1,0,0,1,1,0,1,1,0,0,0,1,1,
Melanostoma sp1 M_PL_033,0,1,0,1,0,0,0,0,1,0,1,0,0,
Apis mellifera,0,0,0,0,1,0,1,0,1,1,0,0,1,
Pyrobombus perplexus,0,1,0,0,0,0,1,0,0,1,0,1,1,
Adela purpurea,0,0,0,0,0,0,0,0,0,1,0,0,0,
Helophilus latifrons,0,1,0,0,1,0,0,1,0,0,0,0,0,
Syritta pipiens,0,1,0,0,0,1,0,0,0,0,1,1,0,
Eristalis dimidiata,0,1,0,0,1,0,0,1,0,0,0,1,0,
Andrena carolina,0,0,0,0,1,0,0,1,0,1,0,0,1,
Macrodactlyus subspinosus,0,0,0,0,0,0,0,0,0,0,0,1,0,
Shaerophoria sp1 M_PL_033,0,1,0,1,0,0,0,1,0,0,1,0,0,
Hybomitra typhus,0,0,0,0,1,1,0,0,0,0,0,0,0,
Syrphus torvus,0,1,0,0,0,0,0,0,1,0,0,0,0,
Toxomerus marginatus,0,0,1,0,0,0,0,0,0,0,0,0,0,
Spilogona fatima,0,0,0,1,0,0,0,0,1,1,1,0,0,
Dialictus pilosus,0,1,0,0,0,0,1,0,1,0,0,0,0,
Hybomitra minuscula,0,0,0,0,0,0,0,0,0,0,0,1,0,
Andrena alleghaniensis,0,1,0,0,0,0,0,1,1,0,0,0,0,
Andrena carlini,0,0,0,1,0,0,0,1,1,1,0,0,1,
Helophilus fasciatus,0,1,0,1,1,1,0,1,0,0,0,0,0,
Pyrophaena rosarum,0,0,0,0,0,1,0,1,1,0,1,1,0,
Helophilus laetus,0,1,0,0,0,0,0,1,0,0,0,1,0,
Thymelicus lineola,0,0,1,0,0,0,0,0,0,0,0,1,0,
