,Azorina vidalii,Beta maritima,Crithmum maritimum,Daucus carota,Freesia sp1 M_PL_036,Leucanthemum vulgare,Lotus corniculatus,Reseda luteola,Silene vulgaris,Solidago sempervirens
Unidentified sp1 M_PL_036,1,0,0,1,0,1,0,1,1,1,
Unidentified sp2 M_PL_036,1,0,1,1,0,1,0,0,0,0,
Unidentified sp3 M_PL_036,1,1,1,0,0,0,0,0,1,0,
Apis mellifera,1,0,0,0,0,0,1,1,0,0,
Bombus sp1 M_PL_036,1,0,0,0,1,0,1,0,0,0,
Unidentified sp4 M_PL_036,1,0,0,0,1,0,1,0,0,0,
Lucilia sp1 M_PL_036,0,0,1,1,0,0,0,0,0,0,
Calliphora sp1 M_PL_036,1,0,0,0,0,0,0,0,0,0,
Moth sp1 M_PL_036,0,0,0,0,0,0,0,0,0,1,
Unidentified sp5 M_PL_036,0,0,0,0,0,1,0,0,0,0,
Unidentified sp6 M_PL_036,0,0,1,0,0,0,0,0,0,0,
Unidentified sp7 M_PL_036,1,0,0,0,0,0,0,0,0,0,
