,Byrsonima spicata,Calliandra tergemina,Centrosema virginianum,Chamaecrista glandulosa,Coccoloba sp1 M_PL_041,Cordia martinicensis,Cordia sp1 M_PL_041,Cornutia pyramidata,Croton flavens,Daphnopsis americana,Desmodium adscendens,Gonzalagunia hirsuta,Guettarda scabra,Ipomoea tiliacea,Lantana camara,Lantana involucrata,Ludwigia octovalvis,Miconia striata,Mimosa casta,Odontonema nitidum,Oxalis barrelieri,Oxalis frutescens,Palicourea crocea,Sida rhombifolia,Spermacoce assurgens,Stigmaphyllon diversifolium,Tetrazygia angustifolia,Unidentified sp21 M_PL_041,Vernonia sp1 M_PL_041,Wedelia calycina,Wedelia trilobata
Orthorhyncus cristatus,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,
Apis mellifera,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,
Unidentified sp1 M_PL_041,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,
Unidentified sp2 M_PL_041,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,
Unidentified sp8 M_PL_041,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Xylocopa sp1 M_PL_041,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp4 M_PL_041,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,
Unidentified sp3 M_PL_041,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,
Wasmannia auropunctata,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
Appias drusilla,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
Unidentified sp6 M_PL_041,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,
Ascia monuste,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp7 M_PL_041,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,
Unidentified sp5 M_PL_041,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,
Coereba flaveola ,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Electrostrymon angerona,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Polygonus sp1 M_PL_041,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
