,Campanula gieseckiana,Cassiope tetragona,Cerastium alpinum,Dryas integrifolia,Epilobium latifolium,Ledum palustre,Pedicularis flammea,Polygonum viviparum,Potentilla rubricaulis,Pyrola grandiflora,Rhododendron lapponicum,Salix sp1 M_PL_045,Saxifraga caespitosa,Saxifraga tricuspidata,Silene acaulis,Vaccinium uliginosum,Viscaria alpina
Unidentified sp1 M_PL_045,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,
Nysius groenlandicus,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,
Acarina sp1 M_PL_045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp2 M_PL_045,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,
Thysanoptera sp1 M_PL_045,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,
Unidentified sp3 M_PL_045,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,
Eupeodes curtus,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,
Dolichopus sp1 M_PL_045,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Spilogona sp1 M_PL_045,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,
Platycheirus hyperboreus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
Platycheirus lundbecki,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Delia sp1 M_PL_045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pegomya sp1 M_PL_045,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
Sphaerophoria scripta,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp4 M_PL_045,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Coccinella transversoguttata,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Eupeodes luniger,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lasiomma sp1 M_PL_045,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Platycheirus groenlandicus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Protophormia terranovae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sympsitis zetterstedtii,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Unidentified sp5 M_PL_045,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp6 M_PL_045,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp7 M_PL_045,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Unidentified sp8 M_PL_045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp9 M_PL_045,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
