,Angelica archangelica,Anthriscus sylvestris,Chamerion angustifolium,Cirsium arvense,Cirsium pratensis,Epilobium hirsutum,Lathyrus pratensis,Ranunculus sp1 M_PL_046,Rubus fruticosus,Silene dioica,Stachys sylvatica,Torilis japonica,Trifolium arvense,Trifolium sp1 M_PL_046,Umbelliferae sp1 M_PL_046,Unidentified sp27 M_PL_046
Meligethes sp1 M_PL_046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Unidentified sp1 M_PL_046,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
Unidentified sp2 M_PL_046,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
Musca sp1 M_PL_046,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,
Unidentified sp3 M_PL_046,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,
Unidentified sp4 M_PL_046,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,
Unidentified sp5 M_PL_046,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,
Lucilia sp1 M_PL_046,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,
Unidentified sp6 M_PL_046,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,
Bombus pascuorum,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,
Bombus terrestris,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,
Pieris sp1 M_PL_046,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,
Unidentified sp7 M_PL_046,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,
Unidentified sp8 M_PL_046,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,
Meligethes sp2 M_PL_046,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,
Unidentified sp10 M_PL_046,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,
Unidentified sp11 M_PL_046,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,
Unidentified sp12 M_PL_046,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,
Unidentified sp9 M_PL_046,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,
Bombus lapidarius,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,
Unidentified sp13 M_PL_046,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,
Unidentified sp14 M_PL_046,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,
Unidentified sp15 M_PL_046,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,
Unidentified sp16 M_PL_046,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,
Unidentified sp17 M_PL_046,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,
Apis mellifera,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,
Asilus sp1 M_PL_046,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,
Andreana sp1 M_PL_046,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,
Cetonia aurata,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,
Colias croceus,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,
Unidentified sp18 M_PL_046,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
Rhynconycha sp1 M_PL_046,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
Unidentified sp19 M_PL_046,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp20 M_PL_046,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Unidentified sp21 M_PL_046,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
Unidentified sp22 M_PL_046,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Vespula sp1 M_PL_046,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Ichneumonidae 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Inachis io,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pararge aegeria,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp23 M_PL_046,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Unidentified sp24 M_PL_046,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Unidentified sp25 M_PL_046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp26 M_PL_046,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
