,Ajuga reptans,Angelica sylvestris,Anthriscus sylvestris,Centaurea jacea,Cerastium fontanum,Cirsium oleraceum,Cirsium vulgare,Crepis paludosa,Filipendula ulmaria,Galium palustre,Geranium robertianum,Geum rivale,Lathyrus montanus,Lathyrus pratensis,Lotus uliginosus,Lychnis flos-cuculi,Lysimachia vulgaris,Lythrum salicaria,Mentha aquatica,Myosotis palustris,Pimpinella major,Polygonum amphibium,Potentilla erecta,Ranunculus acris,Ranunculus flammula,Silene dioica,Stellaria graminea,Stellaria palustris,Trifolium campestre,Trifolium pratense,Trifolium repens,Valeriana officinalis,Veronica beccabunga,Veronica chamaedrys,Veronica serpyllifolia,Vicia cracca,Vicia sepium
Episyrphus balteatus,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,
Platycheirus cyaneus,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,
Meligethes aeneus,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,
Aphantopus hyperantus,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,
Eristalis interrupta,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
Pieris napa,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,
Bombus agrorum,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,
Empis aestiva,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,
Cateretes pedicularius,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,
Bombus lucorum,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,
Holoclera nigripennis,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,
Rhingia campestris,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,
Bombus pratorum,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Bombus terestis,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
