,Argyranthemum frutescens,Ceballosia fruticosa,Convolvulus sp1 M_PL_050,Echium aculeatum,Echium bonnetii,Euphorbia canariensis,Euphorbia obtusifolia,Fagonia sinaica var  albiflora,Lavandula buchii,Lotus sp1 M_PL_050,Neochamaelea pulverulenta,Parolinia intermedia,Periploca laevigata,Plocama pendula
Lasioglossum evylaeus,1,0,1,0,1,1,1,0,1,0,0,1,0,1,
Camponotus rufoglaucus,0,0,1,1,0,1,1,0,0,0,1,0,1,1,
Eucera gracilipes,1,0,1,0,1,0,0,1,1,1,0,1,0,0,
Sphecodes marginatus ,0,1,1,0,0,0,1,0,1,0,0,1,0,1,
Unidentified sp1 M_PL_050,1,0,1,0,0,1,1,0,0,0,0,1,0,0,
Unidentified sp2 M_PL_050,1,0,0,0,0,1,1,0,0,0,0,0,1,0,
Amegilla quadrifasciata,0,0,0,1,1,0,0,0,1,0,0,0,0,0,
Amegilla sp1 M_PL_050,0,0,1,0,0,0,0,0,1,0,0,1,0,0,
Anthophora orotavae,0,0,0,0,1,0,0,0,1,0,0,1,0,0,
Hylaeus sp1 M_PL_050,0,0,0,0,0,1,1,0,0,0,0,0,0,1,
Unidentified sp3 M_PL_050,1,0,1,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp4 M_PL_050,0,0,0,0,0,1,1,0,0,0,0,0,1,0,
Amegilla canifrons,0,0,0,0,0,0,0,0,1,0,0,1,0,0,
Apis mellifera,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
Lucilia sp1 M_PL_050,0,0,0,0,0,1,0,0,0,0,0,0,1,0,
Unidentified sp5 M_PL_050,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp6 M_PL_050,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp7 M_PL_050,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
Unidentified sp8 M_PL_050,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp9 M_PL_050,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
Anthophora alluardii,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Gallotia galloti,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Unidentified sp10 M_PL_050,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Unidentified sp11 M_PL_050,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp12 M_PL_050,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp13 M_PL_050,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Unidentified sp14 M_PL_050,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Unidentified sp15 M_PL_050,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp16 M_PL_050,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Unidentified sp17 M_PL_050,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp18 M_PL_050,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Unidentified sp19 M_PL_050,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Unidentified sp20 M_PL_050,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Unidentified sp21 M_PL_050,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Unidentified sp22 M_PL_050,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
