,Abelia serrata,Aconitum japonicum,Adenophora triphylla,Aletris luteoviridis,Allium thunbergii,Anaphalis margaritacea,Angelica cartilagino-marginata,Angelica longeradiata,Arabis glabra,Arisaema japonicum,Asparagus schoberioides,Aster ageratoides,Aster scaber,Astilbe thunbergii,Benthamidia japonica,Castanea crenata,Cephalanthera falcata,Chionographis japonica,Cimicifuga acerina,Cirsium japonicum,Cirsium suffultum,Clethra barbinervis,Codonopsis lanceolata,Corydalis remota var  lineariloba,Deutzia crenata,Dianthus superbus,Dioscorea asclepiadea,Echinops setifer,Epimedium diphyllum,Erigeron annuus,Erigeron philadelphicus,Eupatorium chinense,Galium japonicum,Galium verum,Gentiana zollingeri,Geranium shikokianum,Hemerocallis vespertina,Heteropappus hispidus,Hydrangea luteo-venosa,Hydrangea paniculata,Hydrangea serrata,Hydrocotyle ramiflora,Hypericum pseudopetiolatum,Inula japonica,Inula salicina,Iris rossii,Isodon inflexus,Ixeris dentata,Lespedeza bicolor,Ligularia fischeri,Ligularia japonica,Lilium leichtlinii,Lindera sericea,Luzula capitata,Lyonia ovalifolia,Lysimachia clethroides,Moehringia lateriflora,Paederia scandens,Parnassia palustris,Patrinia scabiosaefolia,Patrinia villosa,Pieris japonica,Polygala japonica,Polygonum cuspidatum,Potentilla freyniana,Prunella vulgaris,Prunus jamasakura,Pseudolysimachion rotundum,Pseudostellaria heterantha,Quercus dentata,Ranunculus japonicus,Rhododendron kiusianum,Rhododendron reticulatum,Rubus parvifolius,Rubus phoenicolasius,Salix sieboldiana,Salix vulpina,Sanguisorba officinalis,Saussurea gracilis,Saussurea yanagisawae,Schizophragma hydrangeoides,Senecio pierotii,Solidago virgaurea,Sophora flavescens,Spiraea japonica,Staphylea bumalda,Styrax japonica,Swertia japonica,Synurus deltoides,Valeriana fauriei,Veratrum maackii,Viburnum dilatatum,Viburnum erosum,Vicia unijuga,Viola grypoceras,Viola hondoensis,Viola orientalis,Weigela decora,Weigela japonica
Sphaerophoria philanthus,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Ceratina japonica ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
Eristalis tenax,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,
Bombus diversus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,
Apis mellifera,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bombus ignitus,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Lasioglossum sp1 M_PL_053,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bombus ardens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,
Baris dispilota,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lasioglossum sp2 M_PL_053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
