,Adenophora triphylla,Aeschynomene indica,Alisma canaliculatum,Allium macrostemon,Ampelopsis glandulosa var  brevipedunculata,Bidens frondosa,Cardamine lyrata,Chelidonium majus,Cirsium japonicum,Cirsium sieboldii,Clerodendrum trichotomum,Commelina communis,Eupatorium chinense,Eupatorium lindleyanum,Galium trifidum,Hosta albomarginata,Houttuynia cordata,Hydrocharis dubia,Hypericum erectum,Iris laevigata,Isachne globosa,Ixeris dentata,Ixeris japonica,Justicia procumbens,Kalimeris pinnatifida,Kalimeris yomena,Lactuca indica,Leersia japonica,Lespedeza bicolor,Limnophila sessiliflora,Lindernia procumbens,Ludwigia epilobioides,Lycopus cavaleriei,Lysimachia fortunei,Lythrum anceps,Monochoria korsakowii,Monochoria vaginalis,Mosla dianthera,Murdannia keisak,Nymphaea marliacea,Oenanthe javanica,Oxalis corniculata,Persicaria sieboldi,Persicaria thunbergii,Phragmites communis,Plantago asiatica,Pogostemon yatabeanus,Polygonum japonicum var  conspicuum,Polygonum muricatum,Polygonum posumbu,Potentilla egedei,Prenanthes tanakae,Prunella vulgaris,Ranunculus japonicus,Rosa multiflora,Sagittaria trifolia,Salvia japonica,Scirpus triqueter,Senecio pierotii,Solanum melongena,Stellaria media,Taraxacum japonicum,Typha angustifolia,Weigela hortensis
Stomorhina obsoleta ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Rhinotropidia rostrata,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Sphaerophoria macrogaster ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,
Helina sp1 M_PL_055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eristalis kyokoae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Hylaeus macilentus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,
Hylaeus noomen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Melanostoma mellinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parnara guttata guttata ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Lasioglossum sibiriacum,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,
