,Banisteriopsis muricata,Banisteriopsis schizoptera,Banisteriopsis stellaris,Byrsonima gardnerana,Carolus chasei,Dicella bracteosa,Diplopterys pubipetala,Heteropterys sp1 M_PL_059,Heteropterys sp2 M_PL_059,Janusia anisandra,Stigmaphyllon auriculatum,Stigmaphyllon ciliatum,Stigmaphyllon paralias
Centris aenea,1,1,1,1,1,1,1,1,1,1,1,1,1,
Centris fuscata,1,1,1,1,1,1,1,1,1,1,1,1,1,
Centris caxiensis,1,1,1,1,1,1,1,1,1,0,1,0,0,
Centris tarsata,1,1,1,1,1,1,1,1,1,1,0,0,0,
Centris flavifrons,1,0,0,1,0,1,1,1,0,0,1,1,0,
Centris trigonoides,1,0,0,0,0,0,1,1,1,0,0,0,0,
Centris obsoleta,1,0,0,0,0,0,0,0,0,0,0,0,0,
Epicharis sp1 M_PL_059,1,0,0,0,0,0,1,1,1,0,0,0,0,
Apis mellifera,1,0,0,1,0,0,1,0,1,0,0,0,0,
Centris sp1 M_PL_059,0,0,0,0,0,0,1,0,0,0,0,0,0,
Centris sp2 M_PL_059,1,0,0,0,0,0,0,0,0,0,0,0,0,
Xylocopa sp1 M_PL_059,1,0,0,0,0,0,0,1,0,0,0,0,0,
Xylocopa grisescens,1,0,0,0,0,0,0,0,0,0,0,0,0,
